target,BJD,rv,rv_err,ins_name,RA,DEC,rjd
TOI-537,2454463.4939,48947.0,17.0,SOPHIE,101.27725272928,0.81525160751,54463.49390000012
TOI-537,2454465.52471,48816.0,28.0,SOPHIE,101.27725272928,0.81525160751,54465.52471000003
TOI-537,2454506.377,48767.0,16.0,SOPHIE,101.27725272928,0.81525160751,54506.37699999986
TOI-537,2454525.34785,48860.0,20.0,SOPHIE,101.27725272928,0.81525160751,54525.34785000002
TOI-537,2454528.28861,48933.0,31.0,SOPHIE,101.27725272928,0.81525160751,54528.28861000016
TOI-537,2454544.34633,48925.0,26.0,SOPHIE,101.27725272928,0.81525160751,54544.34633000009
LRa01_E1_1031,2454548.58362457,48945.175323479,6.20571158897814,HARPScat,101.275,0.8166666666666668,54548.583624570165
TOI-537,2454548.583775,48933.0,14.0,HARPS,101.27725272928,0.81525160751,54548.58377500018
LRa01_E1_1031,2454550.5775982,48821.9938246367,6.9163945941191,HARPScat,101.275,0.8166666666666668,54550.57759820018
TOI-537,2454550.577783,48792.0,21.0,HARPS,101.27725272928,0.81525160751,54550.57778300019
TOI-537,2454551.584161,48865.0,13.0,HARPS,101.27725272928,0.81525160751,54551.58416099986
LRa01_E1_1031,2454551.58416135,48873.4500480531,5.95724169956573,HARPScat,101.275,0.8166666666666668,54551.58416135004
LRa01_E1_1031,2454553.52443501,48897.2439425236,5.20647446345295,HARPScat,101.275,0.8166666666666668,54553.52443500981
TOI-537,2454553.525234,48883.0,10.0,HARPS,101.27725272928,0.81525160751,54553.525233999826
LRa01_E1_1031,2454554.54564912,48840.6488062169,5.62911414399916,HARPScat,101.275,0.8166666666666668,54554.54564912012
TOI-537,2454554.546158,48819.0,12.0,HARPS,101.27725272928,0.81525160751,54554.546157999896
TOI-537,2454556.554191,48929.0,10.0,HARPS,101.27725272928,0.81525160751,54556.55419099983
LRa01_E1_1031,2454556.55436486,48939.732804199404,5.06275297714605,HARPScat,101.275,0.8166666666666668,54556.55436486006
CoRoT-Exo-5,2454768.85213953,48827.5781485001,4.98933398611773,HARPScat,101.27725000000001,0.8152694444444445,54768.85213952977
TOI-537,2454768.85214,48820.0,9.0,HARPS,101.27725272928,0.81525160751,54768.85214000009
TOI-537,2454769.848137,48900.0,8.0,HARPS,101.27725272928,0.81525160751,54769.84813700011
CoRoT-Exo-5,2454769.84813731,48908.721234175,4.35284029326868,HARPScat,101.27725000000001,0.8152694444444445,54769.848137309775
TOI-537,2454771.850953,48851.0,9.0,HARPS,101.27725272928,0.81525160751,54771.85095300013
CoRoT-Exo-5,2454771.85095344,48861.2783295097,4.6804227660778,HARPScat,101.27725000000001,0.8152694444444445,54771.85095344018
CoRoT-Exo-5,2454772.84128892,48819.7851356346,5.02983596105523,HARPScat,101.27725000000001,0.8152694444444445,54772.841288920026
TOI-537,2454772.841289,48827.0,10.0,HARPS,101.27725272928,0.81525160751,54772.84128900012
TOI-537,2454773.847921,48900.0,8.0,HARPS,101.27725272928,0.81525160751,54773.84792099986
CoRoT-Exo-5,2454773.84792125,48903.8670750145,4.52531651388829,HARPScat,101.27725000000001,0.8152694444444445,54773.84792124992
LRa01_E1_1031,2454802.77752675,48949.3257831709,5.00761815302142,HARPScat,101.275,0.8166666666666668,54802.77752675023
TOI-537,2454802.777527,48929.0,9.0,HARPS,101.27725272928,0.81525160751,54802.777526999824
TOI-537,2454805.748602,48852.0,12.0,HARPS,101.27725272928,0.81525160751,54805.748602000065
LRa01_E1_1031,2454805.74860221,48856.8099776748,5.7291176274405995,HARPScat,101.275,0.8166666666666668,54805.74860221008
LRa01_E1_1031,2455576.74072622,48826.141763141895,5.63093828142974,HARPScat,101.27725000000001,0.8152694444444445,55576.740726219956
LRa01_E1_1031,2455578.7157419,48936.1562868074,5.89566954873275,HARPScat,101.27725000000001,0.8152694444444445,55578.715741899796
LRa01_E1_1031,2456717.3672911,nan,4.37247,SOPHIE,100.6325,0.868055555555556,56717.36729109986
LRa01_E1_1031,2456723.31025113,nan,4.25807,SOPHIE,100.6325,0.868055555555556,56723.31025112979
