target,BJD,rv,rv_err,ins_name,RA,DEC,rjd
K2-100,2459202.863952866,34238.95005743881,23.25656278167097,NEID,8:38:24.2607,20:06:21.6266,59202.863952865824
K2-100,2459202.869061152,34218.82600847344,21.84653333679464,NEID,8:38:24.2607,20:06:21.6266,59202.869061151985
K2-100,2459202.874102665,34246.824936882535,21.61860646059296,NEID,8:38:24.2607,20:06:21.6266,59202.87410266511
K2-100,2459202.879506106,34239.44457099061,21.45547885598807,NEID,8:38:24.2607,20:06:21.6266,59202.87950610602
K2-100,2459202.884768405,34255.21217830958,20.69659473018718,NEID,8:38:24.2607,20:06:21.6266,59202.884768405
K2-100,2459202.889924236,34248.05541223899,22.09079409821247,NEID,8:38:24.2607,20:06:21.6266,59202.88992423611
K2-100,2459202.894962463,34243.11316902594,21.18776044090578,NEID,8:38:24.2607,20:06:21.6266,59202.89496246306
K2-100,2459202.900168528,34231.085492041595,21.33985455177683,NEID,8:38:24.2607,20:06:21.6266,59202.90016852785
K2-100,2459202.905357859,34227.51440071593,20.11944242486347,NEID,8:38:24.2607,20:06:21.6266,59202.9053578591
K2-100,2459202.910626242,34254.22438892127,20.96280774418481,NEID,8:38:24.2607,20:06:21.6266,59202.91062624194
K2-100,2459202.915703785,34243.35516169979,20.87158396481969,NEID,8:38:24.2607,20:06:21.6266,59202.91570378514
K2-100,2459202.921100869,34251.37653892519,19.833887195259628,NEID,8:38:24.2607,20:06:21.6266,59202.92110086884
K2-100,2459202.926055851,34226.424560129286,20.466722975812967,NEID,8:38:24.2607,20:06:21.6266,59202.92605585093
K2-100,2459202.931574939,34238.41158239413,21.2568789575061,NEID,8:38:24.2607,20:06:21.6266,59202.93157493882
K2-100,2459202.936566154,34230.15318295195,22.019158041466607,NEID,8:38:24.2607,20:06:21.6266,59202.93656615401
K2-100,2459202.941716695,34247.444456863566,22.38132014777207,NEID,8:38:24.2607,20:06:21.6266,59202.941716695204
K2-100,2459202.946419362,34224.54635351313,40.70647361600075,NEID,8:38:24.2607,20:06:21.6266,59202.94641936198
K2-100,2459202.963937914,34277.54725531909,31.20550738484943,NEID,8:38:24.2607,20:06:21.6266,59202.963937914
K2-100,2459202.969187941,34224.692049866804,34.23578445065933,NEID,8:38:24.2607,20:06:21.6266,59202.96918794094
