target,BJD,rv,rv_err,ins_name,RA,DEC,rjd
LAMOSTJ195334.86+474854.0,2455430.839929,-142.61,67.08,HRS,298.39526808232,47.81501375849,55430.83992900001
LAMOSTJ195334.86+474854.0,2455431.812259,325.71,49.17,HRS,298.39526808232,47.81501375849,55431.812258999795
LAMOSTJ195334.86+474854.0,2455432.819992,-300.32,90.74,HRS,298.39526808232,47.81501375849,55432.81999199977
LAMOSTJ195334.86+474854.0,2455442.794995,-119.08,43.22,HRS,298.39526808232,47.81501375849,55442.79499500012
LAMOSTJ195334.86+474854.0,2455443.765027,528.51,198.75,HRS,298.39526808232,47.81501375849,55443.7650270001
LAMOSTJ195334.86+474854.0,2455448.768015,-158.75,51.43,HRS,298.39526808232,47.81501375849,55448.76801500004
LAMOSTJ195334.86+474854.0,2455452.748541,358.36,61.44,HRS,298.39526808232,47.81501375849,55452.74854099983
LAMOSTJ195334.86+474854.0,2455472.707059,-413.96,25.96,HRS,298.39526808232,47.81501375849,55472.70705900015
LAMOSTJ195334.86+474854.0,2455480.686032,138.23,56.24,HRS,298.39526808232,47.81501375849,55480.686032
LAMOSTJ195334.86+474854.0,2455494.639064,83.68,36.83,HRS,298.39526808232,47.81501375849,55494.63906399999
LAMOSTJ195334.86+474854.0,2455496.636013,-511.48,60.28,HRS,298.39526808232,47.81501375849,55496.63601299981
LAMOSTJ195334.86+474854.0,2455518.588037,-205.45,56.7,HRS,298.39526808232,47.81501375849,55518.58803700004
LAMOSTJ195334.86+474854.0,2455522.579531,417.16,28.1,HRS,298.39526808232,47.81501375849,55522.579530999996
KOI203,2455678.63442009,nan,4.61439,SOPHIE,298.024583333333,47.6833333333333,55678.63442008989
KOI203,2455678.63442009,nan,4.61439,SOPHIE,298.024583333333,47.6833333333333,55678.63442008989
KOI203,2455686.59212487,nan,4.063009999999999,SOPHIE,298.024583333333,47.6833333333333,55686.59212487005
KOI203,2455694.58595979,nan,4.09054,SOPHIE,298.024583333333,47.6833333333333,55694.58595978981
KOI203,2455701.55875926,nan,3.30585,SOPHIE,298.024583333333,47.6833333333333,55701.55875925999
KOI203,2455702.47932796,nan,4.2203,SOPHIE,298.024583333333,47.6833333333333,55702.47932795994
KOI203,2455703.47860339,nan,4.33699,SOPHIE,298.024583333333,47.6833333333333,55703.478603390045
KOI203,2455704.59384392,nan,4.37827,SOPHIE,298.024583333333,47.6833333333333,55704.593843920156
KOI203,2455705.54530478,nan,3.8060799999999997,SOPHIE,298.024583333333,47.6833333333333,55705.545304779895
KOI203,2456831.52009845,nan,4.2635700000000005,SOPHIE,298.024583333333,47.6833333333333,56831.52009845013
KOI203,2456832.53080062,nan,4.60655,SOPHIE,298.024583333333,47.6833333333333,56832.530800620094
KOI203,2458041.39372,nan,3.9061299999999997,SOPHIE,298.024583333333,47.6833333333333,58041.39372000005
KOI203,2458085.3425325,nan,4.16375,SOPHIE,298.024583333333,47.6833333333333,58085.34253250016
Kepler-17,2459532.719443372,-78343.94304847796,15.055131116898231,NEID,19:50:39.487400,47:48:04.839000,59532.719443371985
