target,BJD,rv,rv_err,ins_name,RA,DEC,rjd
TOI-1465,2456174.41190802,-38009.2680908054,4.253916209532739,HARPN,303.38173864,65.16208117,56174.4119080198
TOI-1465,2456174.42386416,-38011.6603328471,4.017596426506348,HARPN,303.38173864,65.16208117,56174.4238641602
TOI-1465,2456174.43466289,-38023.9130346875,4.012833713215393,HARPN,303.38173864,65.16208117,56174.434662890155
TOI-1465,2456174.44547319,-38019.5412051549,3.957933750359242,HARPN,303.38173864,65.16208117,56174.44547318993
TOI-1465,2456174.45629506,-38048.9273468535,4.288286757715592,HARPN,303.38173864,65.16208117,56174.456295059994
TOI-1465,2456174.46712851,-38064.29154687931,4.251679560122613,HARPN,303.38173864,65.16208117,56174.46712851012
TOI-1465,2456174.47795038,-38093.2534381298,4.130289836450279,HARPN,303.38173864,65.16208117,56174.477950380184
TOI-1465,2456174.48877225,-38103.2321961489,4.222566955682215,HARPN,303.38173864,65.16208117,56174.48877224978
TOI-1465,2456174.49959413,-38097.1859806696,4.403549679931802,HARPN,303.38173864,65.16208117,56174.49959413009
TOI-1465,2456174.510416,-38114.46361547759,4.394087129634358,HARPN,303.38173864,65.16208117,56174.51041600015
TOI-1465,2456174.52238372,-38132.1998438306,4.575100947885619,HARPN,303.38173864,65.16208117,56174.52238372015
TOI-1465,2456176.56936053,-38089.675932422,7.38870183144688,HARPN,303.38173864,65.16208117,56176.569360530004
TOI-1465,2456177.5779582,-38310.7393518473,6.878580471648032,HARPN,303.38173864,65.16208117,56177.57795820013
TOI-1465,2456177.59452086,-38322.4099074633,10.44944748920527,HARPN,303.38173864,65.16208117,56177.594520859886
TOI-1465,2456178.56109231,-37894.8417657157,13.6251650529452,HARPN,303.38173864,65.16208117,56178.56109231012
TOI-1465,2456179.61531466,-37823.43015151509,19.79233609539834,HARPN,303.38173864,65.16208117,56179.61531466013
TOI-1465,2456180.56601722,-38289.5937384965,5.99796590144791,HARPN,303.38173864,65.16208117,56180.5660172198
TOI-1465,2506174.4128054,-38006800.0,4700.0,HARPN,303.38173864,65.16208117,106174.4128054
TOI-1465,2506174.4247685,-38011800.0,4400.0,HARPN,303.38173864,65.16208117,106174.4247685
TOI-1465,2506174.4355706,-38021100.0,4400.0,HARPN,303.38173864,65.16208117,106174.4355706
TOI-1465,2506174.4463817,-38016300.0,4400.0,HARPN,303.38173864,65.16208117,106174.44638169999
TOI-1465,2506174.4572017,-38049800.0,4700.0,HARPN,303.38173864,65.16208117,106174.4572017
TOI-1465,2506174.4680268,-38061400.0,4700.0,HARPN,303.38173864,65.16208117,106174.4680268
TOI-1465,2506174.4788509,-38093000.0,4500.0,HARPN,303.38173864,65.16208117,106174.47885089999
TOI-1465,2506174.489671,-38102700.0,4600.0,HARPN,303.38173864,65.16208117,106174.489671
TOI-1465,2506174.5005001,-38097800.0,4800.0,HARPN,303.38173864,65.16208117,106174.5005001
TOI-1465,2506174.5113162,-38115500.0,4800.0,HARPN,303.38173864,65.16208117,106174.51131619999
TOI-1465,2506174.5232873,-38128700.0,5000.0,HARPN,303.38173864,65.16208117,106174.52328729999
TOI-1465,2506176.5702612,-38084600.0,7500.0,HARPN,303.38173864,65.16208117,106176.5702612
TOI-1465,2506177.578849,-38311600.0,7400.0,HARPN,303.38173864,65.16208117,106177.578849
TOI-1465,2506177.5954171,-38310100.0,10000.0,HARPN,303.38173864,65.16208117,106177.5954171
TOI-1465,2506178.5619923,-37885300.0,13000.0,HARPN,303.38173864,65.16208117,106178.5619923
TOI-1465,2506179.6162127,-37836500.0,19000.0,HARPN,303.38173864,65.16208117,106179.6162127
TOI-1465,2506180.5669062,-38291100.0,6700.0,HARPN,303.38173864,65.16208117,106180.5669062
TOI-1465,2506182.5996329,-37781700.0,6000.0,HARPN,303.38173864,65.16208117,106182.5996329
