target,BJD,rv,rv_err,ins_name,RA,DEC,rjd
WISEJ233640.42-343640.4,2457278.67585527,-7329.2116216343,21.86168954285181,CORALIE14,354.16823606186995,-34.61126674993,57278.67585527012
WISEJ233640.42-343640.4,2457606.72587964,-8513.429407662781,19.54594512673384,CORALIE14,354.16823606186995,-34.61126674993,57606.72587963985
WISEJ233640.42-343640.4,2457613.69950415,-8495.499869604499,14.29631893505113,CORALIE14,354.16823606186995,-34.61126674993,57613.69950415008
WISEJ233640.42-343640.4,2457625.65794558,-7423.04508576069,17.84953231995495,CORALIE14,354.16823606186995,-34.61126674993,57625.65794557985
WISEJ233640.42-343640.4,2457633.59833953,-7418.36618334907,23.28657483020699,CORALIE14,354.16823606186995,-34.61126674993,57633.598339530174
WISEJ233640.42-343640.4,2457634.68391584,-8236.86529239216,16.21271168480075,CORALIE14,354.16823606186995,-34.61126674993,57634.683915839996
WISEJ233640.42-343640.4,2457637.62434046,-7811.04354061351,17.43052473063127,CORALIE14,354.16823606186995,-34.61126674993,57637.62434046017
WISEJ233640.42-343640.4,2457638.68631101,-8515.50633328085,16.65170992233096,CORALIE14,354.16823606186995,-34.61126674993,57638.686311009806
WISEJ233640.42-343640.4,2457639.77874255,-8113.73745333742,14.20509674754912,CORALIE14,354.16823606186995,-34.61126674993,57639.77874254994
WISEJ233640.42-343640.4,2457650.61127555,-7439.11549228904,15.34438595409806,CORALIE14,354.16823606186995,-34.61126674993,57650.61127554998
WISEJ233640.42-343640.4,2457654.61357898,-7240.34069763188,22.96575705238574,CORALIE14,354.16823606186995,-34.61126674993,57654.61357897986
WISEJ233640.42-343640.4,2457655.71970051,-7556.73296758326,16.85109875865546,CORALIE14,354.16823606186995,-34.61126674993,57655.71970051015
WISEJ233640.42-343640.4,2457659.63846033,-8290.992051967629,16.32491163664432,CORALIE14,354.16823606186995,-34.61126674993,57659.6384603302
WISEJ233640.42-343640.4,2457689.62544047,-7924.732020735761,13.78917090887024,CORALIE14,354.16823606186995,-34.61126674993,57689.62544046994
