Time (JD),Relative Flux,Relative Flux Error
2458887.429,0.9992996,0.001770185
2458887.431,1.0008682,0.001767411
2458887.432,0.9997762,0.001769341
2458887.434,1.0003666,0.001768297
2458887.435,1.0002345,0.001768531
2458887.436,1.0007018,0.001767705
2458887.438,1.0005192,0.001768027
2458887.439,0.9987842,0.001771099
2458887.44,1.0007635,0.001767596
2458887.442,0.998908,0.001770879
2458887.443,1.0003766,0.001768279
2458887.445,0.9999645,0.001769008
2458887.446,0.9994387,0.001769939
2458887.447,0.9992068,0.00177035
2458887.449,0.99931747,0.001770153
2458887.45,0.9991901,0.001770379
2458887.452,1.0006263,0.001767838
2458887.453,1.0006131,0.001767861
2458887.454,0.9997533,0.001769382
2458887.456,0.9986322,0.001771368
2458887.457,0.99879295,0.001771083
2458887.459,0.99949145,0.001769845
2458887.46,1.0004252,0.001768193
2458887.461,0.99886113,0.001770962
2458887.463,0.9999937,0.001768956
2458887.464,1.0008863,0.001767379
2458887.465,0.99882275,0.00177103
2458887.467,1.0000933,0.00176878
2458887.468,0.9998746,0.001769167
2458887.47,1.0007877,0.001767553
2458887.471,0.99999064,0.001768962
2458887.472,1.0005413,0.001767988
2458887.474,0.99978703,0.001769322
2458887.475,0.99895567,0.001770794
2458887.477,1.0000429,0.001768869
2458887.478,0.99795777,0.001772565
2458887.479,1.0002829,0.001768445
2458887.481,0.99930626,0.001770173
2458887.482,0.9999533,0.001769028
2458887.484,1.0007567,0.001767608
2458887.485,1.0000722,0.001768817
2458887.486,1.0003524,0.001768322
2458887.488,1.0001402,0.001768697
2458887.489,0.99991137,0.001769102
2458887.49,0.9991857,0.001770387
2458887.492,1.0001645,0.001768654
2458887.495,0.99983704,0.001769234
2458887.496,1.0000643,0.001768832
2458887.497,0.999959,0.001769018
2458887.499,1.0000309,0.001768891
2458887.5,1.0001827,0.001768622
2458887.502,0.9992196,0.001770327
2458887.503,0.9994239,0.001769965
2458887.504,1.0001298,0.001768716
2458887.506,1.0000663,0.001768828
2458887.507,1.0001022,0.001768765
2458887.509,0.99941105,0.001769988
2458887.511,0.9985576,0.0017715
2458887.514,0.9991734,0.001770409
2458887.517,0.9998409,0.001769227
2458887.518,0.9999818,0.001768977
2458887.52,0.999834,0.001769239
2458887.521,0.99950814,0.001769816
2458887.522,1.0004369,0.001768173
2458887.524,1.000056,0.001768846
2458887.525,0.99979275,0.001769312
2458887.527,0.9986338,0.001771365
2458887.528,1.000556,0.001767962
2458887.529,0.9994215,0.001769969
2458887.531,1.000541,0.001767989
2458887.532,0.99939656,0.001770013
2458887.534,0.99904823,0.00177063
2458887.535,1.0000783,0.001768807
2458887.536,0.99975854,0.001769372
2458887.538,1.0004939,0.001768072
2458887.539,0.9992161,0.001770333
2458887.54,0.9996856,0.001769502
2458887.542,0.9999678,0.001769002
2458887.543,0.9993891,0.001770026
2458887.545,1.000363,0.001768303
2458887.546,1.0001516,0.001768677
2458887.549,1.000026,0.001768899
2458887.55,0.9993679,0.001770064
2458887.552,0.9999668,0.001769004
2458887.553,1.0001832,0.001768621
2458887.554,1.0003463,0.001768333
2458887.556,0.9999554,0.001769024
2458887.557,0.99987864,0.00176916
2458887.559,0.99980724,0.001769286
2458887.56,0.9991829,0.001770392
2458887.561,0.99959964,0.001769654
2458887.563,1.0005075,0.001768048
2458887.564,0.999839,0.00176923
2458887.565,1.0002298,0.001768539
2458887.567,1.0004491,0.001768151
2458887.568,1.0004191,0.001768204
2458887.57,0.99943507,0.001769945
2458887.571,0.99918276,0.001770392
2458887.572,1.0010337,0.001767119
2458887.574,0.99858403,0.001771453
2458887.575,1.0009928,0.001767191
2458887.577,0.9986518,0.001771333
2458887.578,0.9990654,0.0017706
2458887.579,0.9998142,0.001769274
2458887.581,0.9994482,0.001769922
2458887.582,1.0006347,0.001767823
2458887.584,0.9996025,0.001769649
2458887.585,1.0005568,0.001767961
2458887.586,1.0004503,0.001768149
2458887.588,0.99981517,0.001769272
2458887.589,0.99887425,0.001770939
2458887.59,0.9990444,0.001770637
2458887.593,1.0004717,0.001768111
2458887.595,0.9988196,0.001771036
2458887.596,0.9999503,0.001769033
2458887.597,0.9999552,0.001769024
2458887.599,1.0006305,0.001767831
2458887.6,0.99966663,0.001769535
2458887.602,1.0002233,0.00176855
2458887.603,1.00053,0.001768008
2458887.604,1.0000184,0.001768913
2458887.606,0.99907494,0.001770583
2458887.607,0.9999874,0.001768967
2458887.609,0.99980664,0.001769287
2458887.61,1.0000645,0.001768831
2458887.611,1.0007725,0.00176758
2458887.613,1.0005143,0.001768036
2458887.614,0.9995595,0.001769725
2458887.615,1.0000048,0.001768937
2458887.617,1.0000412,0.001768872
2458887.618,0.99953085,0.001769775
2458887.62,0.9994063,0.001769996
2458887.624,0.99975353,0.001769381
2458887.625,1.000511,0.001768042
2458887.628,0.99971783,0.001769444
2458887.629,1.0003672,0.001768296
2458887.631,1.0006112,0.001767865
2458887.632,1.0003935,0.001768249
2458887.634,0.99957603,0.001769695
2458887.635,1.0004524,0.001768145
2458887.636,1.0001316,0.001768712
2458887.638,1.0007622,0.001767598
2458887.639,0.9995059,0.00176982
2458887.64,1.0003731,0.001768285
2458887.642,0.9987178,0.001771216
2458887.643,0.9994692,0.001769885
2458887.645,0.99972636,0.001769429
2458887.646,0.9990426,0.00177064
2458887.647,0.9998893,0.001769141
2458887.649,1.0003761,0.00176828
2458887.65,0.99951154,0.00176981
2458887.652,1.0001106,0.001768749
2458887.653,0.99999183,0.00176896
2458887.654,1.0002857,0.00176844
2458887.656,0.99910754,0.001770525
2458887.657,1.0002575,0.00176849
2458887.659,0.99951285,0.001769807
2458887.66,1.0006862,0.001767732
2458887.661,1.0000131,0.001768922
2458887.663,1.0010282,0.001767128
2458887.664,1.0003875,0.00176826
2458887.665,1.0004131,0.001768215
2458887.667,1.0000039,0.001768938
2458887.668,1.0003586,0.001768311
2458887.67,0.9998887,0.001769142
2458887.671,1.000633,0.001767826
2458887.672,0.99895436,0.001770797
2458887.674,0.9997188,0.001769443
2458887.675,1.0000008,0.001768944
2458887.678,1.000577,0.001767925
2458887.679,0.99959254,0.001769666
2458887.681,0.9998527,0.001769206
2458887.682,0.99964935,0.001769566
2458887.684,0.99921095,0.001770342
2458887.686,1.0002553,0.001768494
2458887.688,0.9997921,0.001769313
2458887.69,1.0011238,0.001766959
2458887.692,0.998957,0.001770792
2458887.693,0.9997027,0.001769471
2458887.695,1.0002749,0.001768459
2458887.696,0.99979085,0.001769315
2458887.697,1.0004133,0.001768214
2458887.699,1.0000752,0.001768812
2458887.7,0.9988727,0.001770942
2458887.702,0.999378,0.001770046
2458887.703,1.000544,0.001767983
2458887.704,0.99973446,0.001769415
2458887.706,1.0006361,0.001767821
2458887.707,0.99991363,0.001769098
2458887.709,0.9998552,0.001769201
2458887.71,1.0004492,0.001768151
2458887.711,0.99981207,0.001769278
2458887.714,1.0001428,0.001768693
2458887.715,0.99924415,0.001770283
2458887.717,0.99979275,0.001769312
2458887.718,0.99987614,0.001769164
2458887.72,0.9993181,0.001770152
2458887.721,1.0008612,0.001767423
2458887.722,0.9996704,0.001769528
2458887.724,0.9982565,0.001772035
2458887.725,1.0004859,0.001768086
2458887.727,1.0001526,0.001768675
2458887.729,0.99954265,0.001769755
2458887.731,0.9999569,0.001769021
2458887.732,1.000651,0.001767794
2458887.734,1.0009782,0.001767216
2458887.735,1.0009072,0.001767342
2458887.736,1.0002102,0.001768573
2458887.738,1.0006541,0.001767789
2458887.739,0.9996655,0.001769537
2458887.74,0.9995418,0.001769756
2458887.742,0.99985963,0.001769193
2458887.743,1.000092,0.001768782
2458887.745,1.0005647,0.001767947
2458887.746,1.0005546,0.001767965
2458887.747,1.0002421,0.001768517
2458887.749,1.0002679,0.001768471
2458887.752,0.99990094,0.00176912
2458887.753,0.99892884,0.001770842
2458887.754,0.99981654,0.00176927
2458887.756,1.0003005,0.001768414
2458887.757,0.99968195,0.001769508
2458887.759,1.0002966,0.001768421
2458887.76,1.0001266,0.001768721
2458887.761,1.0003141,0.00176839
2458887.763,0.99999267,0.001768958
2458887.764,0.9999778,0.001768984
2458887.765,1.0000063,0.001768934
2458887.767,0.9995096,0.001769813
2458887.768,1.000365,0.0017683
2458887.77,1.0011609,0.001766894
2458887.771,1.0000603,0.001768838
2458887.772,0.99996984,0.001768999
2458887.774,1.0008273,0.001767483
2458887.775,0.9995078,0.001769816
2458887.777,1.0002147,0.001768565
2458887.778,0.99867046,0.0017713
2458887.779,0.9994351,0.001769945
2458887.781,1.0002962,0.001768421
2458887.782,1.0000917,0.001768783
2458887.784,1.0001355,0.001768705
2458887.785,1.0005143,0.001768036
2458887.786,0.9990228,0.001770675
2458887.788,1.0003049,0.001768406
2458887.789,1.0005443,0.001767983
2458887.79,0.99971646,0.001769447
2458887.792,1.0000567,0.001768845
2458887.793,1.0003809,0.001768272
2458887.795,0.99965525,0.001769555
2458887.796,1.0007133,0.001767684
2458887.797,0.99996763,0.001769002
2458887.799,0.99940753,0.001769994
2458887.8,1.0001537,0.001768673
2458887.802,1.0005492,0.001767974
2458887.803,1.000615,0.001767858
2458887.804,0.99991554,0.001769095
2458887.806,0.9988623,0.00177096
2458887.807,1.0005908,0.001767901
2458887.809,0.9996686,0.001769532
2458887.81,1.0000192,0.001768911
2458887.811,0.9999503,0.001769033
2458887.813,0.99971974,0.001769441
2458887.814,0.99996287,0.001769011
2458887.815,0.9991409,0.001770466
2458887.817,1.0004029,0.001768233
2458887.818,1.0010977,0.001767006
2458887.82,1.0011739,0.001766871
