Telescope,BJD,Vel(m/s),ErrVel(m/s)
ELODIE,2451508.677,3657,12
ELODIE,2451508.677,3657,12
ELODIE,2451509.688,3644,12
ELODIE,2451509.688,3644,12
ELODIE,2451510.693,3638,12
ELODIE,2451510.693,3638,12
ELODIE,2451541.632,3883,13
ELODIE,2451541.632,3883,13
ELODIE,2451559.599,3810,12
ELODIE,2451559.599,3810,12
ELODIE,2451560.675,3811,14
ELODIE,2451560.675,3811,14
ELODIE,2451587.493,3774,15
ELODIE,2451587.493,3774,15
ELODIE,2451587.493,3774,15
ELODIE,2451621.391,3651,13
ELODIE,2451621.391,3651,13
ELODIE,2451621.391,3651,13
ELODIE,2451622.404,3663,14
ELODIE,2451622.404,3663,14
ELODIE,2451622.404,3663,14
ELODIE,2451623.397,3636,13
ELODIE,2451623.397,3636,13
ELODIE,2451623.397,3636,13
ELODIE,2451625.41,3635,11
ELODIE,2451625.41,3635,11
ELODIE,2451625.41,3635,11
ELODIE,2451653.385,3863,13
ELODIE,2451653.385,3863,13
ELODIE,2451653.385,3863,13
ELODIE,2451654.364,3886,16
ELODIE,2451654.364,3886,16
ELODIE,2451654.364,3886,16
ELODIE,2451656.384,3842,11
ELODIE,2451656.384,3842,11
ELODIE,2451656.384,3842,11
ELODIE,2451659.366,3822,14
ELODIE,2451659.366,3822,14
ELODIE,2451659.366,3822,14
ELODIE,2451688.369,3781,12
ELODIE,2451688.369,3781,12
ELODIE,2451688.369,3781,12
ELODIE,2451690.363,3795,13
ELODIE,2451690.363,3795,13
ELODIE,2451691.358,3762,12
ELODIE,2451691.358,3762,12
ELODIE,2451692.362,3759,14
ELODIE,2451692.362,3759,14
ELODIE,2451722.359,3713,13
ELODIE,2451722.359,3713,13
ELODIE,2451727.359,3703,15
ELODIE,2451727.359,3703,15
ELODIE,2451835.691,3666,17
ELODIE,2451835.691,3666,17
ELODIE,2451836.691,3680,15
ELODIE,2451836.691,3680,15
ELODIE,2451852.706,3616,17
ELODIE,2451852.706,3616,17
ELODIE,2451853.705,3600,13
ELODIE,2451853.705,3600,13
ELODIE,2451856.677,3520,14
ELODIE,2451856.677,3520,14
ELODIE,2451859.641,3516,17
ELODIE,2451859.641,3516,17
ELODIE,2451863.663,4146,16
ELODIE,2451863.663,4146,16
ELODIE,2451882.72,3862,15
ELODIE,2451882.72,3862,15
ELODIE,2451906.647,3780,14
ELODIE,2451906.647,3780,14
ELODIE,2451909.632,3769,18
ELODIE,2451909.632,3769,18
ELODIE,2451950.493,3671,20
ELODIE,2451950.493,3671,20
ELODIE,2451950.509,3640,19
ELODIE,2451950.509,3640,19
ELODIE,2451952.556,3659,12
ELODIE,2451952.556,3659,12
ELODIE,2451952.569,3676,12
ELODIE,2451952.569,3676,12
ELODIE,2451955.444,3674,12
ELODIE,2451955.444,3674,12
ELODIE,2451955.459,3669,13
ELODIE,2451955.459,3669,13
ELODIE,2451974.297,4307,14
ELODIE,2451974.297,4307,14
ELODIE,2451974.323,4300,14
ELODIE,2451974.323,4300,14
ELODIE,2451974.335,4322,15
ELODIE,2451974.335,4322,15
ELODIE,2451974.348,4293,14
ELODIE,2451974.348,4293,14
ELODIE,2451974.36,4291,14
ELODIE,2451974.36,4291,14
ELODIE,2451974.377,4265,12
ELODIE,2451974.377,4265,12
ELODIE,2451974.389,4265,12
ELODIE,2451974.389,4265,12
ELODIE,2451974.402,4281,12
ELODIE,2451974.402,4281,12
ELODIE,2451974.415,4277,12
ELODIE,2451974.415,4277,12
ELODIE,2451974.428,4268,12
ELODIE,2451974.428,4268,12
ELODIE,2451974.44,4291,15
ELODIE,2451974.44,4291,15
ELODIE,2451974.453,4283,13
ELODIE,2451974.453,4283,13
ELODIE,2451974.469,4269,12
ELODIE,2451974.469,4269,12
ELODIE,2451974.482,4281,12
ELODIE,2451974.482,4281,12
ELODIE,2451974.495,4276,12
ELODIE,2451974.495,4276,12
ELODIE,2451977.482,4058,17
ELODIE,2451977.482,4058,17
ELODIE,2451978.445,4042,14
ELODIE,2451978.445,4042,14
ELODIE,2451982.372,3944,16
ELODIE,2451982.372,3944,16
HIRES_k,2452007.898,-39.94,2.06
ELODIE,2452075.347,3628,12
ELODIE,2452075.347,3628,12
ELODIE,2452075.347,3628,12
ELODIE,2452075.359,3642,13
ELODIE,2452075.359,3642,13
ELODIE,2452075.359,3642,13
HIRES_k,2452219.162,-6.71,1.68
HIRES_k,2452236.059,-58.47,1.85
HIRES_k,2452243.168,-77.69,1.72
ELODIE,2452279.543,3701,12
ELODIE,2452279.543,3701,12
ELODIE,2452279.543,3701,12
ELODIE,2452280.578,3699,9
ELODIE,2452280.578,3699,9
ELODIE,2452280.578,3699,9
ELODIE,2452281.532,3720,10
ELODIE,2452281.532,3720,10
ELODIE,2452281.532,3720,10
HIRES_k,2452307.879,610,1.82
ELODIE,2452308.601,4314,14
ELODIE,2452308.601,4314,14
ELODIE,2452308.601,4314,14
ELODIE,2452308.613,4331,16
ELODIE,2452308.613,4331,16
ELODIE,2452308.613,4331,16
ELODIE,2452310.577,4124,11
ELODIE,2452310.577,4124,11
ELODIE,2452310.577,4124,11
ELODIE,2452310.59,4110,12
ELODIE,2452310.59,4110,12
ELODIE,2452310.59,4110,12
HIRES_k,2452333.01,-10.09,1.97
HIRES_k,2452334.015,-22.03,1.78
HIRES_k,2452334.905,-22.31,1.59
ELODIE,2452355.45,3790,18
ELODIE,2452355.45,3790,18
ELODIE,2452355.45,3790,18
ELODIE,2452359.416,3767,14
ELODIE,2452359.416,3767,14
ELODIE,2452359.416,3767,14
ELODIE,2452359.429,3757,12
ELODIE,2452359.429,3757,12
ELODIE,2452359.429,3757,12
HIRES_k,2452363.027,-89.04,1.91
HIRES_k,2452446.755,-16.94,1.63
HIRES_k,2452573.127,-65.72,1.83
HIRES_k,2452574.155,-65.88,2.1
HIRES_k,2452603.132,-132.8,1.91
ELODIE,2452638.586,3579,11
ELODIE,2452638.586,3579,11
ELODIE,2452638.586,3579,11
HIRES_k,2452652.074,76.95,1.8
HIRES_k,2452652.992,73.72,1.67
HIRES_k,2452654.049,57.16,1.89
ELODIE,2452678.508,3812,14
ELODIE,2452678.508,3812,14
ELODIE,2452678.508,3812,14
HIRES_k,2452680.969,-58.63,1.43
ELODIE,2452681.571,3824,14
ELODIE,2452681.571,3824,14
ELODIE,2452681.571,3824,14
HIRES_k,2452711.775,-127.47,2.05
HIRES_k,2452712.836,-132.73,1.76
ELODIE,2452718.448,3697,11
ELODIE,2452718.448,3697,11
ELODIE,2452718.448,3697,11
ELODIE,2452722.429,3751,21
ELODIE,2452722.429,3751,21
ELODIE,2452722.429,3751,21
ELODIE,2452722.442,3704,16
ELODIE,2452722.442,3704,16
ELODIE,2452722.442,3704,16
HIRES_k,2452804.814,-76.58,2
HIRES_k,2452805.821,-75.32,2.12
ELODIE,2452961.719,3631,14
ELODIE,2452961.719,3631,14
ELODIE,2452961.719,3631,14
HIRES_k,2452989.056,44.38,1.71
HIRES_k,2453044.897,-129.41,1.6
HIRES_k,2453077.08,-225.95,2.11
HIRES_k,2453153.735,-128.33,1.7
HIRES_k,2453179.742,-189.73,1.8
HIRES_k,2453189.742,-233.23,1.85
HIRES_k,2453190.739,-249.47,1.84
HIRES_k,2453195.738,-303.53,1.55
HIRES_k,2453196.744,-318.51,1.62
HIRES_k,2453196.751,-316.7,1.77
HIRES_k,2453196.758,-315.22,1.84
HIRES_k,2453197.732,-340.02,2.54
HIRES_k,2453197.739,-322.58,1.63
HIRES_k,2453197.745,-324.86,1.67
HIRES_k,2453197.752,-331.4,1.6
HIRES_k,2453198.734,-127.55,3.02
HIRES_k,2453199.734,516.92,2.61
HIRES_k,2453199.74,527.61,1.76
HRS,2453346.881,-20.8,3
HRS,2453346.881,8.1,8.6
HRS,2453346.881,-20.8,3
HRS,2453346.881,8.1,8.6
HRS,2453346.881,-20.8,3
HRS,2453346.881,8.1,8.6
HRS,2453358.021,-16,8.1
HRS,2453358.021,-16,8.1
HRS,2453358.021,-49.5,2.7
HRS,2453358.021,-49.5,2.7
HRS,2453358.021,-16,8.1
HRS,2453358.021,-49.5,2.7
HRS,2453359.824,-26.7,8.8
HRS,2453359.824,-60.4,3
HRS,2453359.824,-26.7,8.8
HRS,2453359.824,-60.4,3
HRS,2453359.824,-26.7,8.8
HRS,2453359.824,-60.4,3
HRS,2453361.03,-28.9,7.7
HRS,2453361.03,-28.9,7.7
HRS,2453361.03,-28.9,7.7
HRS,2453361.03,-64.7,2.5
HRS,2453361.03,-64.7,2.5
HRS,2453361.03,-64.7,2.5
HRS,2453365.031,-46.8,8
HRS,2453365.031,-46.8,8
HRS,2453365.031,-77.4,2.4
HRS,2453365.031,-77.4,2.4
HRS,2453365.031,-46.8,8
HRS,2453365.031,-77.4,2.4
HRS,2453373.983,-63.3,9.8
HRS,2453373.983,-88.4,3
HRS,2453373.983,-88.4,3
HRS,2453373.983,-63.3,9.8
HRS,2453373.983,-88.4,3
HRS,2453373.983,-63.3,9.8
HRS,2453377.801,-62.8,9.6
HRS,2453377.801,-105.5,2.4
HRS,2453377.801,-105.5,2.4
HRS,2453377.801,-62.8,9.6
HRS,2453377.801,-62.8,9.6
HRS,2453377.801,-105.5,2.4
HRS,2453379.752,-62.1,9.3
HRS,2453379.752,-62.1,9.3
HRS,2453379.752,-62.1,9.3
HRS,2453379.752,-109.3,2.7
HRS,2453379.752,-109.3,2.7
