target,BJD,rv,rv_err,ins_name,RA,DEC,rjd
GJ324A,2447578.73,7.24,9.697116,HAMILTON,133.14921293501794,28.33082083179722,47578.72999999998
GJ324A,2447578.73,26.76,9.7,HAMILTON,133.14921293501794,28.33082083179722,47578.72999999998
GJ324A,2447578.73,18.57,9.7,HAMILTON,133.14921293501794,28.33082083179722,47578.729999999996
GJ324A,2447578.73,25.67,9.7,HAMILTON,133.14921293501794,28.33082083179722,47578.729999999996
GJ324A,2447847.0437,4.64,8.4,HAMILTON,133.14921293501794,28.33082083179722,47847.043699999806
GJ324A,2447847.0437,-14.52,8.377284,HAMILTON,133.14921293501794,28.33082083179722,47847.043699999806
GJ324A,2447847.0437,-3.18,8.38,HAMILTON,133.14921293501794,28.33082083179722,47847.0437
GJ324A,2447847.044,3.91,8.4,HAMILTON,133.14921293501794,28.33082083179722,47847.044
GJ324A,2448017.6839,12.29,11.35886,HAMILTON,133.14921293501794,28.33082083179722,48017.68390000006
GJ324A,2448017.688,31.45,7.5,HAMILTON,133.14921293501794,28.33082083179722,48017.688
GJ324A,2448017.6882,32.84,7.5,HAMILTON,133.14921293501794,28.33082083179722,48017.68820000021
GJ324A,2448017.68822,24.36,7.51,HAMILTON,133.14921293501794,28.33082083179722,48017.68822
GJ324A,2448017.692,13.59,10.01438,HAMILTON,133.14921293501794,28.33082083179722,48017.691999999806
GJ324A,2448375.669,-31.38,8.8,HAMILTON,133.14921293501794,28.33082083179722,48375.669
GJ324A,2448375.6692,-30.37,8.8,HAMILTON,133.14921293501794,28.33082083179722,48375.66919999989
GJ324A,2448375.6692,-49.8,8.789368,HAMILTON,133.14921293501794,28.33082083179722,48375.66919999989
GJ324A,2448375.6692,-38.47,8.79,HAMILTON,133.14921293501794,28.33082083179722,48375.669200000004
GJ324A,2448646.001,23.79,8.1,HAMILTON,133.14921293501794,28.33082083179722,48646.001000000004
GJ324A,2448646.0011,5.36,8.052186,HAMILTON,133.14921293501794,28.33082083179722,48646.001099999994
GJ324A,2448646.0011,25.15,8.1,HAMILTON,133.14921293501794,28.33082083179722,48646.001099999994
GJ324A,2448646.0011,16.69,8.05,HAMILTON,133.14921293501794,28.33082083179722,48646.0011
GJ324A,2448670.76,-51.89,10.3,HAMILTON,133.14921293501794,28.33082083179722,48670.76
GJ324A,2448670.7605,-70.32,10.261221,HAMILTON,133.14921293501794,28.33082083179722,48670.76049999986
GJ324A,2448670.7605,-49.69,10.3,HAMILTON,133.14921293501794,28.33082083179722,48670.76049999986
GJ324A,2448670.7605,-58.98,10.26,HAMILTON,133.14921293501794,28.33082083179722,48670.760500000004
GJ324A,2448906.036,-16.09,7.2,HAMILTON,133.14921293501794,28.33082083179722,48906.036
GJ324A,2448906.0361,-23.19,7.17,HAMILTON,133.14921293501794,28.33082083179722,48906.0361
GJ324A,2448906.0361,-14.35,7.2,HAMILTON,133.14921293501794,28.33082083179722,48906.03610000014
GJ324A,2448906.0361,-34.52,7.174066,HAMILTON,133.14921293501794,28.33082083179722,48906.03610000014
GJ324A,2448991.9636,-26.46,7.417444,HAMILTON,133.14921293501794,28.33082083179722,48991.9635999999
GJ324A,2448991.9636,-5.64,7.4,HAMILTON,133.14921293501794,28.33082083179722,48991.9635999999
GJ324A,2448991.9636,-15.13,7.42,HAMILTON,133.14921293501794,28.33082083179722,48991.9636
GJ324A,2448991.964,-8.03,7.4,HAMILTON,133.14921293501794,28.33082083179722,48991.964
GJ324A,2448992.8905,-28.59,7.2,HAMILTON,133.14921293501794,28.33082083179722,48992.8905
GJ324A,2448992.8905,-19.44,7.2,HAMILTON,133.14921293501794,28.33082083179722,48992.89050000021
GJ324A,2448992.8905,-39.92,7.196379,HAMILTON,133.14921293501794,28.33082083179722,48992.89050000021
GJ324A,2448992.891,-21.5,7.2,HAMILTON,133.14921293501794,28.33082083179722,48992.891
GJ324A,2449114.7286,43.72,9.15,HAMILTON,133.14921293501794,28.33082083179722,49114.7286
GJ324A,2449114.7286,32.38,9.151322,HAMILTON,133.14921293501794,28.33082083179722,49114.72860000003
GJ324A,2449114.7286,52.52,9.2,HAMILTON,133.14921293501794,28.33082083179722,49114.72860000003
GJ324A,2449114.729,50.81,9.2,HAMILTON,133.14921293501794,28.33082083179722,49114.729
GJ324A,2449305.9981,58.65,11.778338,HAMILTON,133.14921293501794,28.33082083179722,49305.99809999997
GJ324A,2449306.0196,67.06,10.934993,HAMILTON,133.14921293501794,28.33082083179722,49306.01960000023
GJ324A,2449306.021,83.11,6.4,HAMILTON,133.14921293501794,28.33082083179722,49306.021
GJ324A,2449306.0212,84.99,6.4,HAMILTON,133.14921293501794,28.33082083179722,49306.02119999984
GJ324A,2449306.02125,76.01,6.35,HAMILTON,133.14921293501794,28.33082083179722,49306.02125
GJ324A,2449306.0409,67.25,10.430038,HAMILTON,133.14921293501794,28.33082083179722,49306.040899999905
GJ324A,2449349.8449,74.6,9.173875,HAMILTON,133.14921293501794,28.33082083179722,49349.84489999991
GJ324A,2449349.8449,94.56,9.2,HAMILTON,133.14921293501794,28.33082083179722,49349.84489999991
GJ324A,2449349.8449,85.93,9.17,HAMILTON,133.14921293501794,28.33082083179722,49349.8449
GJ324A,2449349.845,93.02,9.2,HAMILTON,133.14921293501794,28.33082083179722,49349.845
GJ324A,2449350.927,112.92,9.0,HAMILTON,133.14921293501794,28.33082083179722,49350.926999999996
GJ324A,2449350.927,105.83,8.97,HAMILTON,133.14921293501794,28.33082083179722,49350.926999999996
GJ324A,2449350.927,114.22,9.0,HAMILTON,133.14921293501794,28.33082083179722,49350.92700000014
GJ324A,2449350.927,94.49,8.973574,HAMILTON,133.14921293501794,28.33082083179722,49350.92700000014
GJ324A,2449469.6478,118.8,8.961187,HAMILTON,133.14921293501794,28.33082083179722,49469.64779999992
GJ324A,2449469.6478,138.5,9.0,HAMILTON,133.14921293501794,28.33082083179722,49469.64779999992
GJ324A,2449469.6478,130.14,8.96,HAMILTON,133.14921293501794,28.33082083179722,49469.6478
GJ324A,2449469.648,137.23,9.0,HAMILTON,133.14921293501794,28.33082083179722,49469.648
GJ324A,2449676.063,139.01,4.8,HAMILTON,133.14921293501794,28.33082083179722,49676.063
GJ324A,2449676.0632,131.91,4.84,HAMILTON,133.14921293501794,28.33082083179722,49676.063200000004
GJ324A,2449676.0632,135.92,5.3,HAMILTON,133.14921293501794,28.33082083179722,49676.06320000021
GJ324A,2449676.0632,120.58,4.837769,HAMILTON,133.14921293501794,28.33082083179722,49676.06320000021
GJ324A,2449767.774,28.94,4.5,HAMILTON,133.14921293501794,28.33082083179722,49767.774
GJ324A,2449767.774,17.73,4.9,HAMILTON,133.14921293501794,28.33082083179722,49767.77400000021
GJ324A,2449767.77441,22.6,2.57,HAMILTON,133.14921293501794,28.33082083179722,49767.77441
GJ324A,2449767.774414,9.68,4.390048,HAMILTON,133.14921293501794,28.33082083179722,49767.7744140001
GJ324A,2449768.832,8.32,4.7,HAMILTON,133.14921293501794,28.33082083179722,49768.832
GJ324A,2449768.83203,-5.49,2.68,HAMILTON,133.14921293501794,28.33082083179722,49768.83203
GJ324A,2449768.832031,-10.31,4.806745,HAMILTON,133.14921293501794,28.33082083179722,49768.83203099994
GJ324A,2449768.8322,1.01,6.0,HAMILTON,133.14921293501794,28.33082083179722,49768.83220000006
GJ324A,2449793.79785,107.31,1.52,HAMILTON,133.14921293501794,28.33082083179722,49793.79785
GJ324A,2449793.797852,102.25,2.70194,HAMILTON,133.14921293501794,28.33082083179722,49793.79785200022
GJ324A,2449793.798,120.81,2.6,HAMILTON,133.14921293501794,28.33082083179722,49793.798
GJ324A,2449793.7983,113.31,3.3,HAMILTON,133.14921293501794,28.33082083179722,49793.79829999991
GJ324A,2450056.988,124.28,3.2,HAMILTON,133.14921293501794,28.33082083179722,50056.988
GJ324A,2450056.9882,127.44,3.8,HAMILTON,133.14921293501794,28.33082083179722,50056.98820000002
GJ324A,2450056.98828,116.67,1.62,HAMILTON,133.14921293501794,28.33082083179722,50056.98828
GJ324A,2450056.988281,107.72,3.171446,HAMILTON,133.14921293501794,28.33082083179722,50056.98828099994
GJ324A,2450087.881836,63.9,3.720578,HAMILTON,133.14921293501794,28.33082083179722,50087.8818359999
GJ324A,2450087.88184,77.26,2.16,HAMILTON,133.14921293501794,28.33082083179722,50087.88184
GJ324A,2450087.882,83.16,3.7,HAMILTON,133.14921293501794,28.33082083179722,50087.882
GJ324A,2450087.8823,82.81,4.2,HAMILTON,133.14921293501794,28.33082083179722,50087.88230000017
GJ324A,2450088.9186,40.9,3.2,HAMILTON,133.14921293501794,28.33082083179722,50088.918599999975
GJ324A,2450088.9189400002,32.6,1.64,HAMILTON,133.14921293501794,28.33082083179722,50088.91894
GJ324A,2450088.918945,23.49,2.762173,HAMILTON,133.14921293501794,28.33082083179722,50088.91894500004
GJ324A,2450088.919,41.87,2.7,HAMILTON,133.14921293501794,28.33082083179722,50088.919
GJ324A,2450089.0055,40.5,3.5,HAMILTON,133.14921293501794,28.33082083179722,50089.00549999997
GJ324A,2450089.005859,24.63,2.838055,HAMILTON,133.14921293501794,28.33082083179722,50089.00585900014
GJ324A,2450089.00586,33.73,1.56,HAMILTON,133.14921293501794,28.33082083179722,50089.00586
GJ324A,2450089.006,44.1,2.9,HAMILTON,133.14921293501794,28.33082083179722,50089.006
GJ324A,2450089.776,15.31,2.7,HAMILTON,133.14921293501794,28.33082083179722,50089.776
GJ324A,2450089.776367,-3.71,2.853895,HAMILTON,133.14921293501794,28.33082083179722,50089.77636699984
GJ324A,2450089.77637,2.73,1.61,HAMILTON,133.14921293501794,28.33082083179722,50089.77637
GJ324A,2450089.7764,10.12,3.5,HAMILTON,133.14921293501794,28.33082083179722,50089.77639999986
GJ324A,2450089.9859,7.8,3.3,HAMILTON,133.14921293501794,28.33082083179722,50089.9859000002
GJ324A,2450089.986,13.84,2.8,HAMILTON,133.14921293501794,28.33082083179722,50089.986000000004
GJ324A,2450089.986328,-3.61,2.793617,HAMILTON,133.14921293501794,28.33082083179722,50089.9863280002
GJ324A,2450089.98633,2.24,1.53,HAMILTON,133.14921293501794,28.33082083179722,50089.98633
GJ324A,2450090.7448,-1.91,2.8,HAMILTON,133.14921293501794,28.33082083179722,50090.744799999986
GJ324A,2450090.745,-0.38,2.5,HAMILTON,133.14921293501794,28.33082083179722,50090.745
GJ324A,2450090.745117,-18.72,2.510258,HAMILTON,133.14921293501794,28.33082083179722,50090.74511699984
GJ324A,2450090.74512,-9.73,1.41,HAMILTON,133.14921293501794,28.33082083179722,50090.74512
GJ324A,2450090.892578,-21.5,3.094613,HAMILTON,133.14921293501794,28.33082083179722,50090.8925780002
GJ324A,2450090.89258,-11.12,1.66,HAMILTON,133.14921293501794,28.33082083179722,50090.89258
GJ324A,2450090.893,-2.98,2.9,HAMILTON,133.14921293501794,28.33082083179722,50090.893
GJ324A,2450090.893,-4.24,3.6,HAMILTON,133.14921293501794,28.33082083179722,50090.89300000016
GJ324A,2450091.8485,-32.21,3.3,HAMILTON,133.14921293501794,28.33082083179722,50091.84849999985
GJ324A,2450091.84863,-37.65,1.54,HAMILTON,133.14921293501794,28.33082083179722,50091.84863
GJ324A,2450091.848633,-45.67,2.833007,HAMILTON,133.14921293501794,28.33082083179722,50091.84863300016
GJ324A,2450091.849,-26.79,2.7,HAMILTON,133.14921293501794,28.33082083179722,50091.849
GJ324A,2450091.9696,-36.71,3.5,HAMILTON,133.14921293501794,28.33082083179722,50091.96959999995
GJ324A,2450091.969727,-47.84,2.896388,HAMILTON,133.14921293501794,28.33082083179722,50091.96972700022
GJ324A,2450091.96973,-42.75,1.59,HAMILTON,133.14921293501794,28.33082083179722,50091.96973
GJ324A,2450091.97,-29.53,2.8,HAMILTON,133.14921293501794,28.33082083179722,50091.97
GJ324A,2450120.861328,-29.13,5.730991,HAMILTON,133.14921293501794,28.33082083179722,50120.8613280002
GJ324A,2450120.87243,-18.44,2.2,HAMILTON,133.14921293501794,28.33082083179722,50120.87243
GJ324A,2450120.873,-13.42,3.9,HAMILTON,133.14921293501794,28.33082083179722,50120.873
GJ324A,2450120.8739,-18.34,4.2,HAMILTON,133.14921293501794,28.33082083179722,50120.873900000006
GJ324A,2450120.883789,-33.3,5.573271,HAMILTON,133.14921293501794,28.33082083179722,50120.8837890001
GJ324A,2450121.876953,-30.61,4.353287,HAMILTON,133.14921293501794,28.33082083179722,50121.8769530002
GJ324A,2450121.888,-7.92,3.0,HAMILTON,133.14921293501794,28.33082083179722,50121.888
GJ324A,2450121.8886,-19.37,3.4,HAMILTON,133.14921293501794,28.33082083179722,50121.88860000018
GJ324A,2450121.88866,-20.96,1.73,HAMILTON,133.14921293501794,28.33082083179722,50121.88866
GJ324A,2450121.899414,-23.5,4.219082,HAMILTON,133.14921293501794,28.33082083179722,50121.8994140001
GJ324A,2450124.844727,24.25,4.826174,HAMILTON,133.14921293501794,28.33082083179722,50124.84472700022
GJ324A,2450124.8562,17.33,3.5,HAMILTON,133.14921293501794,28.33082083179722,50124.856199999806
GJ324A,2450124.857,39.54,3.3,HAMILTON,133.14921293501794,28.33082083179722,50124.857
GJ324A,2450124.85765,27.31,1.86,HAMILTON,133.14921293501794,28.33082083179722,50124.85765
GJ324A,2450124.870117,22.15,4.642918,HAMILTON,133.14921293501794,28.33082083179722,50124.87011699984
GJ324A,2450125.766602,41.81,5.295935,HAMILTON,133.14921293501794,28.33082083179722,50125.76660200022
GJ324A,2450125.77783,47.21,2.1,HAMILTON,133.14921293501794,28.33082083179722,50125.77783
GJ324A,2450125.778,61.93,3.6,HAMILTON,133.14921293501794,28.33082083179722,50125.778
GJ324A,2450125.7787,39.75,3.9,HAMILTON,133.14921293501794,28.33082083179722,50125.77870000014
GJ324A,2450125.789062,47.98,5.425213,HAMILTON,133.14921293501794,28.33082083179722,50125.78906199988
GJ324A,2450126.831055,78.1,6.657607,HAMILTON,133.14921293501794,28.33082083179722,50126.83105499996
