ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
HARPS,,55321.904360000044,-51891.6,39.7,,
HIRES,,55368.928429999854,-43.0,28.8,,
HARPS,,55411.64142000023,-52007.2,51.2,,
HARPS,,55592.60900000017,7.0,15.0,,
HARPS,,55584.72300000023,50.0,18.0,,
HARPS,,55583.75149999978,29892.0,51.0,,
HARPS,,55589.589699999895,29583.0,46.0,,
HARPS,,55589.69089999981,29415.0,39.0,,
SOPHIE,,54376.66501000011,23578.399999999998,22.599999999999998,,
HARPS,,55355.685229999945,-51855.1,52.8,,
HIRES,,55369.11854999978,-106.8,58.4,,
SOPHIE,,55529.61210000003,29178.0,65.0,,
SOPHIE,,55485.66209999984,29030.0,62.0,,
HARPS,,55071.58942000009,-51900.3,38.8,,
SOPHIE,,54192.303969999775,23562.5,27.099999999999998,,
HARPS,,55592.687700000126,-41.0,20.0,,
HARPS,,55589.5373999998,29732.0,51.0,,
HARPS,,55590.70610000007,29435.0,65.0,,
HARPS,,55326.812220000196,-51902.4,56.2,,
FIES,,55581.50889999978,30262.0,84.0,,
SOPHIE,,54381.63151000021,23379.5,22.700000000000003,,
FIES,,55569.50859999983,29334.0,70.0,,
HARPS,,55078.56893000007,-51896.0,28.1,,
HARPS,,55325.9038999998,-52041.8,52.7,,
HIRES,,55430.78490999993,27.4,18.6,,
HARPS,,55593.71849999996,-141.0,25.0,,
SOPHIE,,55519.615600000136,-99.0,33.0,,
SOPHIE,,55527.62130000023,-73.0,41.0,,
HARPS,,55589.626099999994,29727.0,51.0,,
HARPS,,55070.64996000007,-51968.5,39.4,,
SOPHIE,,55557.52270000009,29077.0,96.0,,
HARPS,,55069.64101999998,-52076.0,40.4,,
SOPHIE,,54197.320900000166,23286.2,30.900000000000002,,
HARPS,,55341.82048999984,-51978.8,33.5,,
HARPS,,55067.60204999987,-51945.4,43.4,,
HARPS,,55577.747500000056,-128.0,14.0,,
HARPS,,55627.66330000013,23.0,39.0,,
SOPHIE,,54380.67016000021,23690.7,22.9,,
FIES,,55581.42169999983,-77.0,36.0,,
HARPS,,55589.668699999806,29501.0,45.0,,
HARPS,,55538.74409999978,28979.0,27.0,,
HIRES,,55429.77180999983,22.2,27.7,,
HARPS,,55589.55420000013,29641.0,52.0,,
HARPS,,55591.71240000008,134.0,21.0,,
SOPHIE,,55529.56110000005,96.0,36.0,,
SOPHIE,,55580.36730000004,29181.0,94.0,,
HARPS,,55414.55156000005,-51857.1,37.4,,
HARPS,,55104.50017999997,-51878.1,50.4,,
HARPS,,55324.766830000095,-51844.9,54.1,,
SOPHIE,,54185.30867000017,23128.399999999998,60.01,,
FIES,,55580.42780000018,76.0,34.0,,
SOPHIE,,55484.67040000018,30132.0,41.0,,
HARPS,,55589.646699999925,29596.0,52.0,,
HARPS,,55586.69100000011,-7.0,18.0,,
HARPS,,55589.73430000013,29482.0,37.0,,
SOPHIE,,55557.47090000007,-2.0,34.0,,
HARPS,,55627.59439999983,-4.0,37.0,,
HARPS,,55539.72530000005,30115.0,38.0,,
SOPHIE,,55577.38310000021,29756.0,41.0,,
SOPHIE,,54378.66336000012,23373.0,32.4,,
SOPHIE,,54184.304980000015,23287.9,38.5,,
SOPHIE,,55505.63670000015,30102.0,32.0,,
HARPS,,55323.90456999978,-51828.2,46.7,,
HARPS,,55342.79028999992,-51908.7,52.4,,
FIES,,55570.55159999989,29881.0,76.0,,
HARPS,,55592.646699999925,-26.0,15.0,,
HARPS,,55589.756500000134,29329.0,43.0,,
SOPHIE,,55513.60440000007,239.0,28.0,,
SOPHIE,,55577.47170000011,-100.0,24.0,,
HARPS,,55589.607400000095,29616.0,48.0,,
HARPS,,55548.72039999999,133.0,15.0,,
HARPS,,55592.53780000005,22.0,15.0,,
HARPS,,55589.713200000115,29436.0,33.0,,
SOPHIE,,54379.66471999977,23620.0,22.4,,
HARPS,,55627.55929999985,1.0,31.0,,
HARPS,,55320.768960000016,-52042.8,36.1,,
Sandiford,,55587.73210000014,114.0,68.0,,
HARPS,,55068.62368000019,-51986.1,46.6,,
FIES,,55568.501199999824,118.0,28.0,,
HARPS,,55336.89012000011,-51892.8,39.8,,
HIRES,,55368.078120000195,9.4,27.4,,
HARPS,,55627.62980000023,59.0,32.0,,
SOPHIE,,55486.64690000005,30069.0,51.0,,
FIES,,55570.43140000012,-122.0,32.0,,
HIRES,,55012.91009999998,40.8,20.2,,
SOPHIE,,55578.372099999804,29241.0,52.0,,
HARPS,,55352.78219999978,-52006.2,57.6,,
Sandiford,,55585.76379999984,-107.0,75.0,,
HARPS,,55547.78379999986,29720.0,23.0,,
SOPHIE,,55527.57510000002,29006.0,65.0,,
HARPS,,55376.7438099999,-51840.1,39.8,,
FIES,,55568.45120000001,30075.0,66.0,,
HARPS,,55339.7963200002,-51933.1,39.2,,
FIES,,55580.54410000006,29075.0,98.0,,
FIES,,55569.58980000019,-63.0,35.0,,
SOPHIE,,55525.60270000016,28933.0,86.0,,
HIRES,,55014.03745000018,50.0,21.7,,
HARPS,,55592.57349999994,54.0,19.0,,
HARPS,,55101.52502000006,-51924.0,69.3,,
HARPS,,55548.676700000186,29324.0,55.0,,
HARPS,,55574.76140000019,-72.0,14.0,,
HARPS,,55589.57209999999,29719.0,42.0,,
HARPS,,55576.66619999986,64.0,14.0,,
SOPHIE,,55579.466000000015,85.0,47.0,,
HARPS,,55098.52473000018,-51793.9,37.4,,
HARPS,,55546.773099999875,-104.0,14.0,,
