ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
HIRES,,54187.03115000017,46.75,3.29,,
HIRES,,54636.86806999985,39.55,2.84,,
HIRES,,54602.77839000011,-21.39,2.29,,
HIRES,,54189.122789999936,-19.16,2.86,,
HIRES,,54604.069350000005,-0.63,2.84,,
HIRES,,54188.10260999994,-11.93,2.63,,
HIRES,,54251.91229999997,8.95,3.09,,
HIRES,,54603.76465999987,-7.05,2.28,,
HIRES,,54188.991520000156,-30.42,2.43,,
HIRES,,54188.153979999945,-20.76,3.39,,
HIRES,,54187.98976999987,-8.83,2.74,,
HIRES,,54548.92425000016,-24.73,3.15,,
HIRES,,54633.94383999985,32.62,3.05,,
HIRES,,54548.030280000065,-24.24,2.61,,
HIRES,,54247.86057000002,32.36,3.5,,
HIRES,,54674.763119999785,-2.42,2.52,,
HIRES,,54603.02041999996,-30.57,2.49,,
HIRES,,54250.864010000136,20.94,3.35,,
HIRES,,54639.83599000005,29.74,2.92,,
HIRES,,54216.941589999944,-8.61,2.68,,
HIRES,,54189.07296000002,-32.64,2.61,,
