target,BJD,rv,rv_err,ins_name,RA,DEC,rjd
SW1451+0556,2455686.69103956,-15687.4483514629,4.4922912527411,HARPScat,222.76745833333337,5.947388888888889,55686.6910395599
GaiaDR31159336403336463872,2455686.69104,-15687.4,5.31,HARPS,222.767446,5.94737459,55686.69103999995
GaiaDR31159336403336463872,2455691.594153,-15835.74,5.93,HARPS,222.767446,5.94737459,55691.59415300004
SW1451+0556,2455691.59415301,-15836.187609979901,4.78123706104888,HARPScat,222.76745833333337,5.947388888888889,55691.59415300982
GaiaDR31159336403336463872,2455691.621178,-15845.91,6.39,HARPS,222.767446,5.94737459,55691.62117799977
SW1451+0556,2455691.62117805,-15846.178488510799,5.04937539781134,HARPScat,222.76745833333337,5.947388888888889,55691.62117805006
GaiaDR31159336403336463872,2455691.784798,-15825.59,5.48,HARPS,222.767446,5.94737459,55691.78479800001
SW1451+0556,2455691.78479816,-15825.9757466556,4.56102667384738,HARPScat,222.76745833333337,5.947388888888889,55691.784798160195
GaiaDR31159336403336463872,2455692.6777,-15678.83,4.55,HARPS,222.767446,5.94737459,55692.677699999884
SW1451+0556,2455692.67770004,-15679.1877134005,3.99919105716855,HARPScat,222.76745833333337,5.947388888888889,55692.67770003993
SW1451+0556,2455692.7470969902,-15673.8064762368,3.67572574877834,HARPScat,222.76745833333337,5.947388888888889,55692.747096990235
GaiaDR31159336403336463872,2455692.747097,-15673.6,4.11,HARPS,222.767446,5.94737459,55692.747097000014
SW1451+0556,2455693.57185068,-15754.3201479379,5.15235420369922,HARPScat,222.76745833333337,5.947388888888889,55693.571850679815
GaiaDR31159336403336463872,2455693.571851,-15754.39,8.14,HARPS,222.767446,5.94737459,55693.57185100019
GaiaDR31159336403336463872,2455693.57795,-15754.79,8.78,HARPS,222.767446,5.94737459,55693.57794999983
SW1451+0556,2455693.5779501,-15755.350256269401,5.33098939766062,HARPScat,222.76745833333337,5.947388888888889,55693.57795009995
GaiaDR31159336403336463872,2455693.584107,-15749.39,8.38,HARPS,222.767446,5.94737459,55693.584106999915
SW1451+0556,2455693.5841074,-15750.855155017,5.2798926067991,HARPScat,222.76745833333337,5.947388888888889,55693.58410739992
SW1451+0556,2455693.59020682,-15756.1960647135,5.30284362799574,HARPScat,222.76745833333337,5.947388888888889,55693.59020682005
GaiaDR31159336403336463872,2455693.590207,-15755.67,8.43,HARPS,222.767446,5.94737459,55693.5902069998
SW1451+0556,2455693.59647985,-15750.0698351059,5.14326711647613,HARPScat,222.76745833333337,5.947388888888889,55693.59647984989
GaiaDR31159336403336463872,2455693.59648,-15749.62,8.07,HARPS,222.767446,5.94737459,55693.59647999983
GaiaDR31159336403336463872,2455693.602579,-15756.67,8.03,HARPS,222.767446,5.94737459,55693.60257899994
SW1451+0556,2455693.60257927,-15757.216806971,5.15104307906113,HARPScat,222.76745833333337,5.947388888888889,55693.602579270024
SW1451+0556,2455693.60873657,-15765.5293304027,5.0486126721144196,HARPScat,222.76745833333337,5.947388888888889,55693.60873656999
GaiaDR31159336403336463872,2455693.608737,-15765.48,7.67,HARPS,222.767446,5.94737459,55693.6087369998
SW1451+0556,2455693.61495173,-15759.4963644539,5.19526922513663,HARPScat,222.76745833333337,5.947388888888889,55693.614951729774
GaiaDR31159336403336463872,2455693.614952,-15758.44,8.17,HARPS,222.767446,5.94737459,55693.61495199986
SW1451+0556,2455693.62116689,-15761.175980828899,4.90767277323601,HARPScat,222.76745833333337,5.947388888888889,55693.62116689002
GaiaDR31159336403336463872,2455693.621167,-15760.64,7.35,HARPS,222.767446,5.94737459,55693.62116699992
SW1451+0556,2455693.6270927098,-15759.859992828,5.22062688481723,HARPScat,222.76745833333337,5.947388888888889,55693.627092709765
GaiaDR31159336403336463872,2455693.627093,-15759.56,8.22,HARPS,222.767446,5.94737459,55693.62709299987
GaiaDR31159336403336463872,2455693.633296,-15775.7,9.01,HARPS,222.767446,5.94737459,55693.63329599984
SW1451+0556,2455693.63329629,-15776.591962558801,5.46806417526061,HARPScat,222.76745833333337,5.947388888888889,55693.63329628995
GaiaDR31159336403336463872,2455693.639569,-15762.72,8.58,HARPS,222.767446,5.94737459,55693.639568999875
SW1451+0556,2455693.63956932,-15763.3050178039,5.35092234653759,HARPScat,222.76745833333337,5.947388888888889,55693.639569319785
SW1451+0556,2455693.64566875,-15780.1668932103,5.05164277572258,HARPScat,222.76745833333337,5.947388888888889,55693.64566875016
GaiaDR31159336403336463872,2455693.645669,-15779.0,7.57,HARPS,222.767446,5.94737459,55693.64566900022
SW1451+0556,2455693.65188391,-15770.972410331102,4.83499381325347,HARPScat,222.76745833333337,5.947388888888889,55693.651883909944
GaiaDR31159336403336463872,2455693.651884,-15770.96,7.0,HARPS,222.767446,5.94737459,55693.65188399982
GaiaDR31159336403336463872,2455693.657925,-15779.81,7.64,HARPS,222.767446,5.94737459,55693.65792499995
SW1451+0556,2455693.65792546,-15781.2456572275,5.05385504238554,HARPScat,222.76745833333337,5.947388888888889,55693.65792546002
GaiaDR31159336403336463872,2455693.664152,-15764.08,7.37,HARPS,222.767446,5.94737459,55693.6641520001
SW1451+0556,2455693.6641522,-15763.7805621474,4.98954399210412,HARPScat,222.76745833333337,5.947388888888889,55693.66415219987
GaiaDR31159336403336463872,2455693.670263,-15768.68,7.51,HARPS,222.767446,5.94737459,55693.67026299983
SW1451+0556,2455693.67026319,-15768.2221913338,5.04104698928366,HARPScat,222.76745833333337,5.947388888888889,55693.67026318982
SW1451+0556,2455693.67646678,-15769.6828987732,5.08427542993665,HARPScat,222.76745833333337,5.947388888888889,55693.67646677978
GaiaDR31159336403336463872,2455693.676467,-15768.74,7.74,HARPS,222.767446,5.94737459,55693.67646700004
SW1451+0556,2455693.68268194,-15762.1409723867,4.85389007547796,HARPScat,222.76745833333337,5.947388888888889,55693.68268194003
GaiaDR31159336403336463872,2455693.682682,-15762.26,7.09,HARPS,222.767446,5.94737459,55693.6826820001
GaiaDR31159336403336463872,2455693.688781,-15787.15,6.62,HARPS,222.767446,5.94737459,55693.68878100021
SW1451+0556,2455693.68878136,-15786.601250964899,4.66095719818727,HARPScat,222.76745833333337,5.947388888888889,55693.688781360164
GaiaDR31159336403336463872,2455693.694927,-15776.73,6.71,HARPS,222.767446,5.94737459,55693.694926999975
