ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
FEROS,,56035.65100000007,27.54,69.87,,
CORALIE,,55701.49218000006,53.78,25.0,,
FEROS,,56021.75,-33.57,57.03,,
CORALIE,,55701.67396999989,132.78,28.0,,
FEROS,,56025.78200000012,222.49,46.75,,
FEROS,,55738.45999999996,-90.05,57.78,,
FEROS,,55901.83999999985,281.61,34.46,,
CYCLOPS,,55932.134800000116,-2.8,39.6,,
CYCLOPS,,55939.19223999977,-22.0,15.65,,
FEROS,,56024.79300000006,-50.14,90.16,,
CYCLOPS,,55933.0976900002,-104.8,115.0,,
FEROS,,55722.56100000022,246.23,53.72,,
FEROS,,55721.48199999984,-190.09,61.09,,
CORALIE,,55701.698580000084,132.78,29.0,,
FEROS,,55724.61100000003,-409.37,58.84,,
FEROS,,55726.62999999989,157.47,47.67,,
FEROS,,55991.751000000164,108.73,56.55,,
FEROS,,56029.73900000006,163.37,65.29,,
FEROS,,55936.867000000086,274.56,48.03,,
FEROS,,55736.570999999996,286.48,50.45,,
CORALIE,,55702.466760000214,229.78,23.0,,
FEROS,,55723.60399999982,28.04,59.75,,
CYCLOPS,,55933.188120000064,208.1,33.62,,
CORALIE,,55702.49046,209.78,23.0,,
FEROS,,56031.54600000009,-256.83,46.88,,
FEROS,,55737.46400000015,75.76,50.47,,
FEROS,,55911.841000000015,79.18,39.24,,
CYCLOPS,,55938.16979000019,-265.2,21.28,,
CYCLOPS,,55943.2239000001,271.6,17.65,,
FEROS,,55735.5129999998,-121.06,81.73,,
CORALIE,,55701.469659999944,64.78,24.0,,
FEROS,,56032.70200000005,81.66,40.39,,
FEROS,,55728.53899999987,-146.13,56.44,,
