target,BJD,rv,rv_err,ins_name,RA,DEC,rjd
TOI-781,2455701.52346,-90.37,33.0,CORALIE,176.73904269101,-22.56300481893,55701.52345999982
TOI-781,2455701.54622,-238.37,36.0,CORALIE,176.73904269101,-22.56300481893,55701.5462199999
TOI-781,2455702.5276,168.63,33.0,CORALIE,176.73904269101,-22.56300481893,55702.52760000015
TOI-781,2455702.55065,169.63,33.0,CORALIE,176.73904269101,-22.56300481893,55702.55065000011
TOI-781,2455721.503,204.15,71.76,FEROS,176.73904269101,-22.56300481893,55721.503000000026
TOI-781,2455722.583,371.99,100.77,FEROS,176.73904269101,-22.56300481893,55722.5830000001
TOI-781,2455723.445,-330.7,73.66,FEROS,176.73904269101,-22.56300481893,55723.44499999983
TOI-781,2455736.469,164.63,38.18,FEROS,176.73904269101,-22.56300481893,55736.46900000004
TOI-781,2455737.538,261.69,119.02,FEROS,176.73904269101,-22.56300481893,55737.538000000175
TOI-781,2455738.486,-47.0,58.61,FEROS,176.73904269101,-22.56300481893,55738.48600000003
TOI-781,2455932.22448,-33.63,21.8,CYCLOPS,176.73904269101,-22.56300481893,55932.22447999986
TOI-781,2455933.21669,-40.53,51.2,CYCLOPS,176.73904269101,-22.56300481893,55933.21669000015
TOI-781,2455934.12774,75.57,65.58,CYCLOPS,176.73904269101,-22.56300481893,55934.12773999991
TOI-781,2455938.812,-337.82,139.13,FEROS,176.73904269101,-22.56300481893,55938.81199999992
TOI-781,2455939.16016,47.07,49.44,CYCLOPS,176.73904269101,-22.56300481893,55939.16015999997
TOI-781,2455990.756,294.99,103.71,FEROS,176.73904269101,-22.56300481893,55990.75600000005
TOI-781,2455992.821,-335.9,72.26,FEROS,176.73904269101,-22.56300481893,55992.820999999996
TOI-781,2456035.674,31.55,77.56,FEROS,176.73904269101,-22.56300481893,56035.674000000115
