target,BJD,rv,rv_err,ins_name,RA,DEC,rjd
C02T002,2457185.74010889,-5100.34424394592,1.42637816849944,HARPScat,245.44074999999998,-23.547863888888887,57185.74010888999
C02T002,2457186.72781817,-4842.11126138242,1.95625324202614,HARPScat,245.44074999999998,-23.547863888888887,57186.7278181701
C02T002,2457187.72288682,-4443.75662734044,1.08138154605419,HARPScat,245.44074999999998,-23.547863888888887,57187.72288681986
K2-31,2467244.760693,-227967.2762734518,1643.8999999999999,Keck HIRES,245.44074201767,-23.54785766796,67244.76069300016
K2-31,2467245.798803,64545.2366914066,1482.77,Keck HIRES,245.44074201767,-23.54785766796,67245.79880299978
K2-31,2467253.81,-186698.3093157543,1387.5,Keck HIRES,245.44074201767,-23.54785766796,67253.81000000006
K2-31,2467254.8293,-241514.0832457411,1494.45,Keck HIRES,245.44074201767,-23.54785766796,67254.82929999987
K2-31,2467255.747418,243694.33556519102,1573.34,Keck HIRES,245.44074201767,-23.54785766796,67255.7474179999
K2-31,2467262.78489,87443.32244210914,1720.25,Keck HIRES,245.44074201767,-23.54785766796,67262.78488999978
K2-31,2467265.751971,308858.5181185521,1616.6799999999998,Keck HIRES,245.44074201767,-23.54785766796,67265.75197099987
K2-31,2467413.171202,-52683.42427427854,1871.25,Keck HIRES,245.44074201767,-23.54785766796,67413.17120200023
