ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
FIES,,56902.46355,-35719.0,7.0,,
FIES,,56841.71887,-35409.0,8.0,,
CAFE,,56828.62402,-35976.0,19.0,,
FIES,,56856.68809,-35680.0,5.0,,
FIES,,56903.52509,-35704.0,6.0,,
FIES,,56916.36055,-35565.0,13.0,,
CAFE,,56839.63282,-35830.0,17.0,,
FIES,,56855.69674,-35693.0,8.0,,
FIES,,56844.72316,-35653.0,9.0,,
FIES,,56842.71994,-35512.0,9.0,,
CAFE,,56826.63307,-36018.0,14.0,,
CAFE,,56837.63356,-35820.0,25.0,,
FIES,,56936.46518,-35234.0,6.0,,
FIES,,56860.40078,-35632.0,8.0,,
FIES,,56843.71619,-35610.0,7.0,,
FIES,,56901.41459,-35716.0,7.0,,
FIES,,56880.52282,-35327.0,6.0,,
CAFE,,56836.63077,-35808.0,17.0,,
FIES,,56854.70204,-35704.0,6.0,,
CAFE,,56835.64888,-35799.0,16.0,,
CAFE,,56838.63076,-35783.0,24.0,,
CAFE,,56906.41528,-36316.0,23.0,,
FIES,,56892.55722,-35223.0,7.0,,
CAFE,,56827.64045,-36017.0,29.0,,
CAFE,,56870.3907,-36125.0,19.0,,
CAFE,,56858.56617,-36314.0,29.0,,
FIES,,56875.41274,-35418.0,7.0,,
