target,BJD,rv,rv_err,ins_name,RA,DEC,rjd
HIP52733,2454216.87072,0.0,1.27,HIRES,161.70725076631,-9.39902651325,54216.87072
HIP52733,2454429.13052,-2.81,1.23,HIRES,161.70725076631,-9.39902651325,54429.13052
HIP52733,2454543.95846,0.22,1.24,HIRES,161.70725076631,-9.39902651325,54543.95846
HIP52733,2454847.04279,-0.32,1.41,HIRES,161.70725076631,-9.39902651325,54847.04279
HIP52733,2455173.1069,-18.84,1.28,HIRES,161.70725076631,-9.39902651325,55173.1069
HIP52733,2455232.13899,18.89,1.33,HIRES,161.70725076631,-9.39902651325,55232.13899
HIP52733,2455319.77937,-25.54,1.35,HIRES,161.70725076631,-9.39902651325,55319.77937
HIP52733,2455634.91966,13.209999999999999,1.25,HIRES,161.70725076631,-9.39902651325,55634.91966
HIP52733,2456477.73979,15.51,1.51,HIRES,161.70725076631,-9.39902651325,56477.73979
HIP52733,2456641.04425,-25.63,1.32,HIRES,161.70725076631,-9.39902651325,56641.04425
KELT-11,2457786.66397136,35090.468794282,2.2537427660130698,HARPScat,161.70725416666664,-9.399024166666665,57786.66397135984
KELT-11,2457786.6701522497,35089.637777067,2.14045786677529,HARPScat,161.70725416666664,-9.399022222222222,57786.670152249746
KELT-11,2457786.67394876,35091.466506084995,2.13309957892414,HARPScat,161.70725416666664,-9.399022222222222,57786.673948760144
KELT-11,2457786.67780313,35089.3168336272,2.14992324819355,HARPScat,161.70725416666664,-9.399022222222222,57786.67780312989
KELT-11,2457786.68163436,35090.48709620479,2.16266844003646,HARPScat,161.70725416666664,-9.399022222222222,57786.68163435999
KELT-11,2457786.68546559,35094.2984113805,2.18637797020124,HARPScat,161.70725416666664,-9.399022222222222,57786.6854655901
KELT-11,2457786.68929681,35093.4924421209,2.17610248397505,HARPScat,161.70725416666664,-9.399022222222222,57786.68929680996
KELT-11,2457786.69311646,35089.889657002306,2.17008846649252,HARPScat,161.70725416666664,-9.399022222222222,57786.693116459996
KELT-11,2457786.69694769,35090.639249073705,2.09738551217896,HARPScat,161.70725416666664,-9.399022222222222,57786.6969476901
KELT-11,2457786.70077892,35093.2949985467,2.1204389879553602,HARPScat,161.70725416666664,-9.399022222222222,57786.7007789202
KELT-11,2457786.70461014,35092.3558020278,2.14331181534915,HARPScat,161.70725416666664,-9.399022222222222,57786.70461014006
KELT-11,2457786.70904325,35090.736703805494,2.17810977766668,HARPScat,161.70725416666664,-9.399022222222222,57786.70904324995
KELT-11,2457786.7129092,35092.5113249632,2.16649849841965,HARPScat,161.70725416666664,-9.399022222222222,57786.71290920023
KELT-11,2457786.71674043,35091.0792570388,2.19768065350784,HARPScat,161.70725416666664,-9.399022222222222,57786.71674042987
KELT-11,2457786.72053693,35089.6715832218,2.29373767914328,HARPScat,161.70725416666664,-9.399022222222222,57786.72053693002
KELT-11,2457786.72439131,35091.185024799895,2.20473750807909,HARPScat,161.70725416666664,-9.399022222222222,57786.72439131001
KELT-11,2457786.72822253,35089.942863944896,2.23172891407109,HARPScat,161.70725416666664,-9.399022222222222,57786.72822252987
KELT-11,2457786.73201904,35089.225861938,2.22436286622018,HARPScat,161.70725416666664,-9.399022222222222,57786.7320190398
KELT-11,2457786.73587341,35091.005904324295,2.2711745590323202,HARPScat,161.70725416666664,-9.399022222222222,57786.73587341001
KELT-11,2457786.73963519,35093.245709560695,2.34805392785109,HARPScat,161.70725416666664,-9.399022222222222,57786.739635189995
