ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
TRES,,56452.66704900004,-79.97,17.75,,
HIRES,,56163.73346700007,19.38,3.9,,
TRES,,56466.733703000005,-69.7,17.79,,
HIRES,,56165.72705999995,46.7,3.76,,
TRES,,56468.72060899995,-78.93,24.46,,
HIRES,,56318.97881500004,-46.73,3.5,,
TRES,,56450.707562000025,-18.64,19.4,,
HIRES,,56177.71932299994,-14.71,3.56,,
HIRES,,56178.716548,2.82,3.57,,
TRES,,56443.70700599998,-33.79,22.37,,
TRES,,56467.707369000185,-66.4,24.43,,
HIRES,,56172.720199999865,64.03,3.36,,
HIRES,,56326.174999999814,-62.66,3.5,,
TRES,,56469.71921399981,-36.11,22.32,,
TRES,,56114.68168399995,-5.96,28.33,,
HIRES,,56179.71515099984,43.05,3.67,,
HIRES,,56320.088103000075,-35.17,3.48,,
HIRES,,56327.103147000074,-49.24,3.52,,
TRES,,56470.658849,34.53,19.41,,
TRES,,56451.710411000066,-54.28,19.92,,
HIRES,,56164.72977099987,61.75,3.76,,
TRES,,56464.68488200009,10.16,14.42,,
TRES,,56472.70451800013,-11.86,25.12,,
TRES,,56453.66105599981,16.31,21.2,,
TRES,,56463.673603999894,19.16,15.25,,
TRES,,56459.68563200021,-54.01,17.19,,
HIRES,,56175.72797999997,-5.05,5.06,,
HIRES,,56290.173359000124,29.64,3.81,,
HIRES,,56173.720970999915,69.62,3.31,,
TRES,,56117.67340599978,63.43,19.73,,
HIRES,,56345.02647700021,8.71,3.58,,
TRES,,56503.6538610002,58.79,33.22,,
TRES,,56458.68825899996,-71.18,18.35,,
HIRES,,56328.106726000085,-11.7,3.32,,
TRES,,56501.66354600014,-20.17,33.33,,
TRES,,56460.68456199998,-57.04,20.36,,
TRES,,56462.67388099991,0.0,14.42,,
TRES,,56461.669083999936,-30.88,18.32,,
TRES,,56029.8698669998,27.02,20.27,,
TRES,,56504.64586200006,-2.35,19.21,,
