ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
MIKE,,54272.688651999924,9396.0,115.0,,
MIKE,,54275.687072999775,9343.0,87.0,,
MIKE,,54272.661301000044,9271.0,118.0,,
MIKE,,54273.66713699978,9485.0,133.0,,
MIKE,,54274.63700899994,9351.0,104.0,,
MIKE,,54274.612755000126,9111.0,126.0,,
MIKE,,54275.65830199979,9265.0,99.0,,
MIKE,,54273.69078799989,9653.0,134.0,,
MIKE,,54274.661842000205,9397.0,130.0,,
MIKE,,54275.63125600014,9231.0,140.0,,
MIKE,,54274.683776999824,9455.0,176.0,,
MIKE,,54273.614632000215,9486.0,128.0,,
MIKE,,54272.6339420001,9454.0,103.0,,
MIKE,,54273.64170099981,9559.0,98.0,,
MIKE,,54275.60575899994,9441.0,127.0,,
