target,BJD,rv,rv_err,ins_name,RA,DEC,rjd
TOI-448,2458415.71230399,-19526.0934592198,165.0318546516203,CORALIE14,75.7954285,-30.39936635,58415.71230399003
TOI-448,2458418.74116298,-18632.5439278343,103.5057226065877,CORALIE14,75.7954285,-30.39936635,58418.741162979975
TOI-448,2458444.6761383,67472.4542781091,186.5598478034865,CORALIE14,75.7954285,-30.39936635,58444.67613829998
TOI-448,2458454.65261926,-19323.5271842279,124.5870069935409,CORALIE14,75.7954285,-30.39936635,58454.6526192599
TOI-448,2458472.58825853,-18855.6399207568,109.0925392361232,CORALIE14,75.7954285,-30.39936635,58472.58825853001
TOI-448,2458472.74920445,-19064.3737424363,124.3409612196236,CORALIE14,75.7954285,-30.39936635,58472.74920444982
TOI-448,2458474.71299496,-6177.33465862116,267.4381445515035,CORALIE14,75.7954285,-30.39936635,58474.71299496014
TOI-448,2458475.69482512,-19333.0377156215,101.7903691709845,CORALIE14,75.7954285,-30.39936635,58475.694825119805
TOI-448,2458475.78984612,-19263.6606294292,110.3758206543279,CORALIE14,75.7954285,-30.39936635,58475.78984611994
TOI-448,2458481.70906983,-19396.2168518407,88.67053943457721,CORALIE14,75.7954285,-30.39936635,58481.7090698299
TOI-448,2458481.8050509,-19493.5290771426,101.7105089776792,CORALIE14,75.7954285,-30.39936635,58481.805050900206
TOI-448,2458491.70562657,-274856.094002966,319.3860818334272,CORALIE14,75.7954285,-30.39936635,58491.705626570154
TOI-448,2458492.68861021,-19018.7888211456,86.23897154159768,CORALIE14,75.7954285,-30.39936635,58492.68861021008
TOI-448,2458492.73407144,-19104.9348148797,98.2941555027274,CORALIE14,75.7954285,-30.39936635,58492.73407144006
TOI-448,2458493.54947976,-140150.378616966,183.5785763382047,CORALIE14,75.7954285,-30.39936635,58493.54947976023
