ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
FLAMES,,52770.820499999914,-6105.0,43.0,,
UVES,,52552.50286999997,-6410.0,63.0,,
UVES,,52522.5082299998,-6421.0,65.0,,
UVES,,52526.51146000018,-6485.0,60.0,,
UVES,,52553.54729000013,-6135.0,62.0,,
HIRES,,52481.79460000014,-6130.0,58.0,,
FLAMES,,52759.72110999981,-6291.0,64.0,,
UVES,,52525.50904999999,-6413.0,61.0,,
FLAMES,,52766.79457999999,-6212.0,55.0,,
FLAMES,,52767.72838999983,-6274.0,59.0,,
HIRES,,52481.794550000224,90.0,60.0,,
HIRES,,53208.777199999895,-6380.0,70.0,,
FLAMES,,52768.8470999999,-6365.0,44.0,,
FLAMES,,52769.85597999999,-6238.0,55.0,,
HIRES,,52864.778599999845,-6304.0,54.0,,
HIRES,,52853.781299999915,-6247.0,48.0,,
HIRES,,53207.77939999988,-6152.0,56.0,,
HIRES,,53209.77270000009,-6254.0,56.0,,
FLAMES,,52797.768800000194,-6130.0,50.0,,
HIRES,,53206.78560000006,-6223.0,97.0,,
HIRES,,52855.84539999999,-6340.0,59.0,,
UVES,,52550.53700000001,-6135.0,106.0,,
HIRES,,52483.75773000019,-90.0,50.0,,
HIRES,,52483.75779999979,-6296.0,57.0,,
UVES,,52551.55409000022,-6475.0,94.0,,
FLAMES,,52764.85707999999,-6236.0,51.0,,
UVES,,52549.553290000185,-6607.0,86.0,,
