ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
TRES,,55605.96641799994,-737.8,23.6,,
TRES,,55647.89095300017,160.3,35.4,,
TRES,,55617.97817600006,-799.2,21.0,,
TRES,,55607.98785400018,346.7,35.5,,
TRES,,55607.00134800002,-536.2,32.9,,
TRES,,55650.857342999894,57.0,27.1,,
TRES,,55659.877783,119.4,25.4,,
TRES,,55663.81286500022,-83.3,21.3,,
TRES,,55644.849973999895,-638.7,25.5,,
TRES,,55691.770973999985,-292.0,32.0,,
TRES,,55664.86764999991,-764.9,30.3,,
TRES,,55585.00359799992,327.3,27.2,,
TRES,,55615.93816300016,285.1,23.9,,
TRES,,55704.73019299982,-724.7,19.5,,
TRES,,55728.755460999906,-500.9,31.5,,
TRES,,55705.69492099993,148.7,42.0,,
TRES,,55616.97360499995,-71.0,28.9,,
TRES,,55580.01162200002,231.4,33.8,,
TRES,,55673.78477199981,-471.2,19.2,,
TRES,,55722.74432899989,334.0,33.7,,
TRES,,55671.7625099998,-211.4,21.8,,
TRES,,55645.90159199992,-802.6,20.6,,
TRES,,55726.71849399991,269.1,30.1,,
TRES,,55604.03489399981,210.7,29.6,,
TRES,,55646.846694000065,0.0,17.4,,
TRES,,55706.738098000176,258.4,27.6,,
TRES,,55668.845187999774,-835.7,30.1,,
TRES,,55583.03458700003,-581.6,26.7,,
TRES,,55581.02711699996,383.2,37.7,,
TRES,,55587.98343800008,271.2,27.4,,
TRES,,55702.69923999999,229.8,24.2,,
TRES,,55602.958910000045,-396.5,32.9,,
TRES,,55583.961503,276.4,32.6,,
TRES,,55604.96622900013,59.3,29.2,,
TRES,,55703.72726000007,-471.1,32.2,,
TRES,,55608.95527100004,-93.6,27.7,,
TRES,,55665.79657100001,-549.1,21.3,,
TRES,,55610.99660499999,-447.0,36.5,,
TRES,,55672.73396599991,-850.1,28.6,,
TRES,,55662.83996499982,171.5,29.1,,
TRES,,55733.70667999983,407.0,27.5,,
TRES,,55643.881697000004,214.0,29.1,,
TRES,,55656.870961999986,-711.0,22.2,,
TRES,,55652.89551499998,-603.6,32.9,,
