ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
HARPS,,58452.617063,11443.390000000001,1.38,-5.058,0.0292
HARPS,,58397.846707,11439.39,2.61,-4.8962,0.0567
HARPS,,58416.702752,11444.0,1.4400000000000002,-4.9174,0.0177
HARPS,,58394.658339,11437.960000000001,1.38,-4.9648,0.0198
CORALIE14,CORALIE,58393.71342311986,11066.7458062836,12.74870814804468,-99999.0,-99999.0
HARPS,,58474.528445,11438.75,1.2899999999999998,-4.9606,0.0165
HARPS,,58415.665176,11443.27,1.61,-4.9145,0.02
HARPS,,58426.539888,11434.710000000001,1.5399999999999998,-5.0275,0.0251
HARPS,,58404.660173,11439.87,2.59,-5.1342,0.0835
HARPS,,58471.552144,11437.69,1.5399999999999998,-5.0031,0.0288
HARPS,,58453.675734,11440.009999999998,1.32,-5.0513,0.0279
HARPS,,58427.726297,11437.68,1.2899999999999998,-5.0945,0.0271
HARPS,,58440.553004,11444.63,1.34,-4.8868,0.0142
HARPS,,58431.5229,11435.21,1.88,-5.0289,0.0358
HARPS,,58429.663035,11436.37,1.95,-5.0248,0.0448
HARPS,,58478.653853,11439.49,1.88,-5.0084,0.0457
HARPS,,58440.649401,11444.64,1.57,-4.9277,0.025
HARPS,,58439.541867,11443.9,1.76,-5.0667,0.0375
HARPS,,58419.776315,11443.189999999999,2.07,-5.0292,0.0662
HARPS,,58479.557086,11446.08,1.23,-4.9267,0.0151
HARPS,,58393.747959,11432.83,1.31,-5.0073,0.0223
HARPS,,58430.560012,11438.52,1.5,-4.9556,0.0208
HARPS,,58413.664498,11444.84,1.47,-5.0147,0.0224
HARPS,,58488.608424,11441.23,1.6700000000000002,-5.039,0.0422
HARPS,,58431.747613,11433.78,1.6199999999999999,-5.0664,0.0425
HARPS,,58453.563666,11441.4,1.33,-5.0859,0.0273
HARPS,,58410.78686,11444.16,1.83,-4.9768,0.0395
HARPS,,58451.701963,11443.789999999999,1.5299999999999998,-5.0223,0.0304
HARPS,,58486.597236,11434.210000000001,1.6,-4.949,0.031
HARPS,,58425.794721,11435.68,1.6199999999999999,-4.9738,0.0382
CORALIE14,CORALIE,58368.68741780985,11074.8760736407,11.46175656497715,-99999.0,-99999.0
