ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
HDS,,53907.97118999995,-22.3,13.3,,
HDS,,53908.07223000005,-23.7,11.2,,
HDS,,53907.870180000085,18.7,14.0,,
HIRES,,54187.963299999945,167.5,8.4,,
HDS,,53907.99364,-39.2,13.0,,
HDS,,53908.004879999906,-9.8,12.2,,
HDS,,53907.89262000006,54.6,12.0,,
HDS,,53908.06100000022,-38.2,13.3,,
HDS,,53908.02731999988,-17.7,13.6,,
HDS,,53908.0834499998,-23.0,9.6,,
HDS,,53907.959960000124,-7.1,12.1,,
HDS,,53907.91506000003,26.4,11.4,,
HDS,,53908.04978,-27.5,11.1,,
HDS,,53908.038540000096,-24.7,12.2,,
HIRES,,54188.96503000008,-336.5,8.6,,
HIRES,,54189.09622000018,-183.9,9.3,,
HDS,,53907.90383999981,24.3,10.4,,
HIRES,,54186.99525000015,229.0,10.8,,
HDS,,53907.94872999983,2.9,11.0,,
HDS,,53907.92627999978,30.4,10.9,,
HDS,,53907.98241000017,-40.5,13.3,,
HDS,,53908.016100000124,-30.5,13.8,,
HIRES,,54188.04216000019,286.3,9.7,,
HIRES,,54189.046719999984,-234.5,10.9,,
HDS,,53907.88139000023,30.5,12.5,,
HIRES,,54187.11353999982,82.1,8.5,,
HDS,,53907.9375,22.4,14.3,,
