ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
SOPHIE,,54494.50070000021,-11463.0,28.0,,
SOPHIE,,54506.29039999982,-11593.0,25.0,,
HRS,,54113.584199999925,-71.0,184.0,,
SOPHIE,,54516.45399999991,-10267.0,71.0,,
CDES-TS2,,54142.79669999983,2761.0,139.0,,
SOPHIE,,54494.5737999999,-11811.0,36.0,,
HIRES,,54864.80403000023,-72.96,9.37,,
SOPHIE,,54553.30019999994,-13135.0,33.0,,
HRS,,54005.858700000215,1454.0,129.0,,
SOPHIE,,54494.4767,-11460.0,29.0,,
HIRES,,54864.982729999814,-420.18,9.08,,
CDES-TS2,,54143.79989999998,881.0,143.0,,
SOPHIE,,54511.4534,-13041.0,38.0,,
CDES-TS2,,54141.80470000021,77.0,149.0,,
HIRES,,54864.83185000019,-93.29,9.95,,
SOPHIE,,54494.58059999999,-11783.0,33.0,,
HIRES,,54864.75693000015,94.67,8.1,,
HRS,,54159.6091,-278.0,132.0,,
SOPHIE,,54513.30910000019,-10360.0,52.0,,
SOPHIE,,54502.273000000045,-13068.0,24.0,,
HIRES,,54864.97972999979,-413.02,8.65,,
HIRES,,54864.83813000005,-84.01,9.2,,
SOPHIE,,54494.59569999995,-11767.0,33.0,,
SOPHIE,,54503.470000000205,-10182.0,40.0,,
HIRES,,54864.72497999994,236.89,8.63,,
CDES-TS2,,54140.81309999991,267.0,139.0,,
SOPHIE,,54494.46249999991,-11379.0,27.0,,
HIRES,,54864.844279999845,-83.04,7.95,,
SOPHIE,,54494.56650000019,-11785.0,34.0,,
SOPHIE,,54494.4720999999,-11354.0,28.0,,
HRS,,54121.71900000004,-965.0,204.0,,
SOPHIE,,54494.682200000156,-11913.0,49.0,,
SOPHIE,,54494.53519999981,-11691.0,36.0,,
HRS,,54006.85969999991,-976.0,122.0,,
SOPHIE,,54494.62099999981,-11783.0,35.0,,
HIRES,,54864.811879999936,-91.84,9.02,,
HIRES,,54864.77202000003,10.35,8.11,,
SOPHIE,,54494.51519999979,-11589.0,28.0,,
SOPHIE,,54494.61230000015,-11740.0,34.0,,
SOPHIE,,54505.28890000004,-13132.0,23.0,,
HRS,,54158.621999999974,1191.0,144.0,,
HIRES,,54864.93909,-307.71,8.57,,
HIRES,,54864.7760999999,-16.32,8.98,,
HIRES,,54864.760660000145,69.94,9.39,,
SOPHIE,,54497.26090000011,-10156.0,29.0,,
HIRES,,54864.79174999986,-34.11,9.4,,
HIRES,,54864.74886999978,133.62,8.85,,
SOPHIE,,54494.49129999988,-11411.0,27.0,,
HIRES,,54864.821669999976,-46.12,8.89,,
SOPHIE,,54494.45259999996,-11300.0,26.0,,
SOPHIE,,54494.4813000001,-11448.0,28.0,,
SOPHIE,,54494.55349999992,-11700.0,34.0,,
SOPHIE,,54499.27650000015,-13006.0,30.0,,
SOPHIE,,54494.44609999983,-11298.0,20.0,,
SOPHIE,,54494.53030000022,-11679.0,27.0,,
HIRES,,54864.75314999977,103.7,9.28,,
SOPHIE,,54494.65320000006,-11920.0,36.0,,
