"TIC ID","TOI","CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ESM","TSM","Predicted Mass (M_Earth)","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Transit Epoch (BJD)","Transit Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Stellar Metallicity","Stellar Metallicity error","Stellar Mass (M_Sun)","Stellar Mass error","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"231663901","101.01","","5","5","5","5","5","5","5","87.6","211.2","116.12","0","1","3","KP","KP","12.4069","0.006","1","spoc","UNKNOWN","318.737012","-55.871863","12.641","0.044","-16.011","0.041","2459036.904104","0.0003926639","1.4303691403398","9.228199e-7","1.6438728317153","0.018756187","20.994855","0.2144","19151.21621432","197.45049","13.250493344819","0.66068995","1281.2417919654","1525.9050966799","109.60649","375.31","4.411","5600","","4.48851","","0.89077401161194","0.0438467","","","1.05","0.129454","1,27","WASP-46 b","2018-09-05","2021-10-07","2022-12-14"
"149603524","102.01","","5","5","5","5","5","5","5","137.4","179","317","1","2","1","KP","KP","9.7109","0.006","1","qlp-s68-ffi","SPOC","87.139821","-63.988329","-15.641","0.037","26.046","0.037","2460187.916571","0.0001263","4.4119378","8e-7","3.65","0.011","16.477767","0.075115","15062","69.1814","15.4706","0.691963","653.252","1408","1112","175.631","0.588","6280","","4.32092","","1.21","0.05","0.24","0.05","1.28","0.190812","1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,62,64,65,68","WASP 62 b","2019-05-07","2023-11-16","2023-12-08"
"336732616","103.01","","5","5","5","5","5","5","5","47.7","136.4","116.75","0","0","7","KP","KP","11.5232","0.008","1","spoc","UNKNOWN","312.457488","-24.428694","10.426","0.07","15.62","0.051","2458327.25256","0.000586","3.547854","0.000149","3.494333","0.049205","11.377523","0.133944","10424.3718","123.359314","14.581841","0.196435","1212.004376","1504.858953","59.5","411.211","7.752","6351","","4.22896","","1.4","","","","1.27","0.196969","1","HATS-3 b","2018-09-05","2020-10-27","2022-12-14"
"231670397","104.01","","5","5","5","5","5","5","5","52.4","122.6","121.75","1","0","3","KP","KP","9.8638","0.006","1","spoc-s01-s36-b0A-CPKP","SPOC","319.949697","-58.148933","10.552","0.045","-10.658","0.043","2460150.608677","0.0006817","4.0872956","0.0000023","5.5861130474761","0.050875474","3.885379","0.03875","3572.1712498597","35.689426","13.62377317646","0.65182334","2242.360540084","1755.0767383266","48.678577","316.678","2.9655","6036","","3.93359","","2.2186698913574","0.102573","","","1.16","0.166129","1,27,67","WASP-73 b","2018-09-05","2023-10-16","2023-10-16"
"144065872","105.01","","5","5","5","5","5","5","5","187.2","431.1","122.95","1","3","2","KP","KP","9.4995","0.006","1","spoc-s01-s36-b0A-CPKP","UNKNOWN","337.457824","-48.003099","91.976","0.052","-6.861","0.069","2459084.58501","0.00011","2.1846669487207","4.851188e-7","2.8652800157436","0.009074817","12.786825","0.037924","11708.022854889","34.928566","13.702852670325","0.66197515","1362.1381428406","1549.4409801056","349.33414","137.544","0.7905","5630","","4.37759","","1.2382400035858","0.0596985","","","1.03","0.127209","1,28","WASP-95; epoch kept from qlp-s28-tois","2018-09-05","2021-12-08","2022-12-14"
"38846515","106.01","","5","5","5","5","5","5","5","88.4","107","317","1","0","3","KP","KP","10.3157","0.006","1","qlp-s69-ffi","SPOC","68.959816","-64.027039","10.845","0.035","-0.499","0.052","2460201.638583","0.000127","2.8493825","3e-7","3.567","0.053","8.774451","0.027169","8049","25.0232","16.3869","0.734704","2005.83","1864","425","364.411","2.729","6900","","4.438","","1.77","0.08","","","1.44","0.243534","1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,67,68,69","WASP-100 b","2019-05-07","2023-11-16","2023-12-08"
"92352620","107.01","","5","5","5","5","5","5","5","180.3","267.9","317","0","1","3","KP","KP","9.6433","0.006","1","qlp-s68-ffi","SPOC","313.783239","-34.135751","26.376","0.078","-44.947","0.059","2460176.993334","0.0004485","3.9502008","0.0000026","4.444","0.046","15.213018","0.104225","13914","95.9899","20.5357","0.899664","1009.38","1570","205","211.211","2.4835","6153","","4.18077","","1.71","0.07","0.22","0.1","1.14","0.150731","1,27,68","WASP-94 A b","2018-09-05","2023-11-15","2023-12-08"
"289793076","108.01","","5","5","5","5","5","5","5","39.1","115.6","99.64","0","0","4","KP","KP","13.163","0.01","1","spoc","SPOC","316.96148","-26.09672","3.479","0.063","-10.313","0.038","2458328.08383","0.0004391314","3.0440540665342","0.00000425771","2.598457480183","0.061165422","24.414911","0.532696","22236.01653763","490.51093","12.108679940721","0.2679916","315.98713264737","1075.3184542233","34.314007","421.855","8.339","5523","","4.52192","","0.80986797809601","","","","0.95","","1,28","HATS-13 b","2018-09-05","2021-10-20","2022-12-14"
"29344935","109.01","","5","5","5","5","5","5","5","32.5","84.5","98.43","0","0","5","KP","KP","13.2366","0.007","1","spoc","UNKNOWN","313.215475","-25.687376","1.053","0.052","-9.881","0.029","2458326.127889","0.00053233746","2.766747877062","0.0000045420184","2.5998082697684","0.082150556","16.248311","0.353657","14853.824382119","325.67685","12.022250697715","0.39210835","505.88696535529","1209.5758909269","29.239107","513.011","9.1275","5346","","4.48823","","0.98486602306366","","","","0.93","","1,28","HATS-14 b","2018-09-05","2021-12-02","2022-12-14"
"281459670","110.01","","5","5","5","5","5","5","5","66.2","71.2","317","0","0","1","KP","KP","11.6714","0.006","1","spoc","UNKNOWN","5.618525","-59.942589","-22.309","0.036","-4.893","0.034","2458328.040318","0.000219277","3.1743473914331","0.000002150323","2.6515124165476","0.031354535","16.579229","0.180485","15154.038161005","166.21867","14.406683299189","0.80587804","718.91061513781","1320.6522439938","74.55683","342.14","2.912","5943","","4.42524","","1.1570600271225","0.0633669","-0.1","0.1","1.03","0.12909","1,2,28,29","HATS-30 b","2018-11-14","2021-12-03","2022-12-14"
